repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,DeleteEvent,CreateEvent,IssueCommentEvent,IssuesEvent,PullRequestReviewCommentEvent,ReleaseEvent,MemberEvent,total
hyperledger/identus-edge-agent-sdk-ts,2024-07,36,9,7,4,6,6,4,2,1,0,75
hyperledger/identus-edge-agent-sdk-ts,2024-08,29,15,4,9,6,16,2,0,0,0,81
hyperledger/identus-edge-agent-sdk-ts,2024-09,44,13,11,5,6,4,2,2,0,0,87
hyperledger/identus-edge-agent-sdk-ts,2024-10,63,10,7,11,12,12,9,1,1,0,126
hyperledger/identus-edge-agent-sdk-ts,2024-11,60,17,7,8,8,9,6,3,0,0,118
hyperledger/identus-edge-agent-sdk-ts,2024-12,6,0,1,0,0,2,0,0,0,0,9
hyperledger/identus-edge-agent-sdk-ts,2025-01,10,1,7,1,1,5,2,4,0,0,31
hyperledger/identus-edge-agent-sdk-ts,2025-02,19,10,11,4,4,5,4,7,0,0,64
hyperledger-identus/sdk-ts,2025-02,17,4,2,2,4,3,1,2,0,0,35
hyperledger-identus/sdk-ts,2025-03,31,8,15,6,3,2,7,11,0,0,83
hyperledger-identus/sdk-ts,2025-04,2,1,3,0,1,0,0,0,0,0,7
hyperledger-identus/sdk-ts,2025-05,16,4,1,2,2,9,1,0,0,0,35
hyperledger-identus/sdk-ts,2025-06,27,8,2,4,2,2,0,0,0,0,45
hyperledger-identus/sdk-ts,2025-07,22,7,0,20,14,3,7,0,0,0,73
hyperledger-identus/sdk-ts,2025-08,1,1,1,1,0,0,1,1,0,0,6
hyperledger-identus/sdk-ts,2025-09,0,0,1,0,0,1,0,1,0,0,3
hyperledger-identus/sdk-ts,2025-10,6,3,0,3,3,0,1,0,0,0,16
hyperledger-identus/sdk-ts,2026-01,2,0,1,2,1,0,0,2,0,0,8
hyperledger-identus/sdk-ts,2026-03,58,3,0,8,7,0,6,0,0,0,82
hyperledger-identus/sdk-ts,2026-04,14,0,1,6,4,3,0,0,0,0,28
hyperledger-identus/sdk-ts,2026-05,6,0,1,4,3,0,1,1,0,0,16
hyperledger/identus-apollo,2024-07,54,16,1,10,17,0,0,0,3,0,101
hyperledger/identus-apollo,2024-08,1,2,0,1,1,0,1,0,0,0,6
hyperledger/identus-apollo,2024-09,12,1,0,0,1,0,0,0,0,0,14
hyperledger/identus-apollo,2024-10,6,2,1,2,0,0,0,0,0,0,11
hyperledger/identus-apollo,2025-01,5,3,1,2,0,1,1,0,0,0,13
hyperledger/identus,2024-10,1,2,1,1,1,6,16,0,0,0,28
hyperledger/identus,2024-11,0,0,1,0,0,2,1,0,0,0,4
hyperledger/identus,2024-12,0,0,1,0,0,0,2,0,0,0,3
hyperledger/identus,2025-01,0,0,1,0,0,0,11,0,0,0,12
hyperledger/identus,2025-02,6,4,0,3,3,0,0,0,0,0,16
hyperledger/identus-docs,2024-07,0,0,3,0,0,0,0,0,0,0,3
hyperledger/identus-docs,2024-08,10,3,6,2,1,2,0,0,0,0,24
hyperledger/identus-docs,2024-09,2,0,3,0,0,1,0,1,0,0,7
hyperledger/identus-docs,2024-11,0,0,1,0,0,0,0,2,0,0,3
hyperledger/identus-docs,2025-01,0,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-docs,2025-02,7,2,1,1,2,3,0,0,0,0,16
hyperledger/identus-cloud-agent,2024-06,4,8,6,2,2,2,0,5,0,0,29
hyperledger/identus-cloud-agent,2024-08,0,0,1,0,0,2,0,0,0,0,3
hyperledger/identus-cloud-agent,2025-01,0,0,2,0,0,0,0,0,0,0,2
hyperledger-identus/docs,2025-07,0,1,0,0,0,0,0,0,0,0,1
hyperledger-identus/docs,2025-08,3,2,0,1,0,0,0,0,0,0,6
hyperledger-identus/docs,2025-11,7,1,2,1,2,0,0,0,0,0,13
hyperledger-identus/docs,2026-03,1,1,0,0,1,0,0,0,0,0,3
hyperledger-labs/open-enterprise-agent,2023-09,3,2,0,0,1,0,0,0,0,0,6
hyperledger-labs/open-enterprise-agent,2023-10,3,4,0,2,2,0,0,0,0,0,11
hyperledger-labs/open-enterprise-agent,2024-02,0,0,0,0,0,2,1,0,0,0,3
hyperledger/identus-edge-agent-sdk-swift,2024-07,0,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-swift,2024-08,0,0,2,0,0,1,0,0,0,0,3
hyperledger/identus-edge-agent-sdk-swift,2024-09,0,0,3,0,0,1,0,1,0,0,5
hyperledger/identus-edge-agent-sdk-swift,2024-10,0,0,0,0,0,0,2,0,0,0,2
hyperledger/identus-edge-agent-sdk-swift,2024-11,0,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-swift,2025-01,0,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-swift,2025-02,0,0,0,0,0,0,0,0,0,1,1
hyperledger/identus-mediator,2024-08,6,4,0,2,2,0,0,0,0,0,14
hyperledger-identus/.github,2025-07,7,0,0,0,2,2,1,0,0,0,12
hyperledger-identus/apollo,2025-03,0,0,5,0,0,1,0,4,0,0,10
hyperledger-identus/apollo,2025-07,0,0,1,0,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-kmp,2024-08,0,0,2,0,0,1,0,0,0,0,3
hyperledger/identus-edge-agent-sdk-kmp,2024-09,0,0,0,0,1,0,0,0,0,0,1
