repo,month,IssueCommentEvent,IssuesEvent,PullRequestEvent,ForkEvent,PullRequestReviewEvent,WatchEvent,total
hyperledger-identus/cloud-agent,2025-02,4,2,1,0,0,0,7
hyperledger-identus/cloud-agent,2025-03,6,2,3,0,0,0,11
hyperledger-identus/cloud-agent,2025-04,4,1,2,0,0,0,7
hyperledger-identus/cloud-agent,2025-05,2,2,0,0,1,0,5
hyperledger-identus/mediator,2025-02,5,0,3,1,0,0,9
hyperledger/identus-cloud-agent,2025-01,0,1,0,0,0,0,1
hyperledger/identus-cloud-agent,2025-02,1,1,0,0,0,0,2
hiero-ledger/hiero-sdk-rust,2026-04,0,2,0,0,0,0,2
hyperledger-identus/identus,2025-02,0,0,0,1,0,0,1
hyperledger-identus/identus,2025-03,0,0,1,0,0,0,1
hyperledger-identus/docs,2025-05,0,0,0,0,1,0,1
hyperledger-labs/Scorex,2024-12,0,0,0,0,0,1,1
