repo,month,IssueCommentEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,PushEvent,IssuesEvent,ForkEvent,WatchEvent,total
hyperledger/besu,2019-09,1,3,0,4,2,0,1,1,12
hyperledger/besu,2019-10,0,18,0,7,5,0,0,0,30
hyperledger/besu,2019-11,0,3,0,8,5,0,0,0,16
hyperledger/besu,2019-12,5,1,0,8,6,0,0,0,20
hyperledger/besu,2020-01,0,4,0,0,0,0,0,0,4
hyperledger/besu,2020-02,2,4,0,0,0,0,0,0,6
hyperledger/besu,2020-03,0,2,0,0,0,0,0,0,2
hyperledger/besu,2020-04,2,5,0,2,1,1,0,0,11
hyperledger/besu,2020-05,1,2,0,4,2,0,0,0,9
hyperledger/besu,2020-06,6,0,0,1,0,1,0,0,8
hyperledger/besu,2020-07,0,1,0,0,0,0,0,0,1
hyperledger/besu,2020-08,2,4,2,2,1,1,0,0,12
hyperledger/besu,2020-09,1,3,4,0,0,0,0,0,8
hyperledger/besu,2020-10,1,0,1,0,0,0,0,0,2
hyperledger/besu,2020-12,0,1,1,0,0,0,0,0,2
hyperledger/besu,2021-02,0,1,2,4,2,2,0,0,11
hyperledger/besu,2021-03,1,0,1,2,1,0,0,0,5
hyperledger/besu,2021-04,3,0,2,0,0,1,0,0,6
hyperledger/besu,2021-05,1,1,6,0,0,1,0,0,9
hyperledger/besu,2021-06,0,0,1,0,0,0,0,0,1
hyperledger/besu,2021-07,1,0,1,0,0,0,0,0,2
hyperledger/besu,2021-08,0,6,5,1,1,0,0,0,13
hyperledger/besu,2021-09,1,0,2,2,2,0,0,0,7
hyperledger/besu,2021-10,0,0,1,1,1,0,0,0,3
hyperledger/besu,2021-11,1,0,5,1,0,0,0,0,7
hyperledger/besu,2021-12,0,0,2,4,2,0,0,0,8
hyperledger/besu,2022-01,3,4,5,0,0,0,0,0,12
hyperledger/besu,2022-02,4,1,4,3,1,0,0,0,13
hyperledger/besu,2022-03,2,0,0,2,1,0,0,0,5
hyperledger/besu,2022-04,5,4,4,0,0,6,0,0,19
hyperledger/besu,2022-05,3,2,5,0,0,3,0,0,13
hyperledger/besu,2022-06,2,0,0,0,0,1,0,0,3
hyperledger/besu,2022-07,18,5,7,1,0,3,0,0,34
hyperledger/besu,2022-08,11,12,8,1,0,2,0,0,34
hyperledger/besu,2022-09,4,1,2,0,0,0,0,0,7
hyperledger/besu,2022-10,3,1,4,0,0,3,0,0,11
hyperledger/besu,2022-11,3,0,1,0,0,0,0,0,4
hyperledger/besu,2022-12,6,0,1,0,0,0,0,0,7
hyperledger/besu,2023-01,1,0,0,0,0,0,0,0,1
hyperledger/besu,2023-03,1,0,2,0,0,0,0,0,3
hyperledger/besu,2023-05,0,0,0,2,1,0,0,0,3
hyperledger/besu,2023-08,0,0,1,0,0,0,0,0,1
hyperledger/besu,2023-11,0,0,0,0,0,1,0,0,1
hyperledger/besu,2024-09,1,0,1,0,0,0,0,0,2
hyperledger/besu-docs,2019-09,0,1,0,0,0,0,0,0,1
hyperledger/besu-docs,2019-11,0,2,0,0,0,0,0,0,2
hyperledger/besu-docs,2020-02,4,0,0,0,0,0,0,0,4
hyperledger/besu-docs,2020-05,1,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2021-09,0,0,2,0,0,0,0,0,2
hyperledger/besu-docs,2021-11,0,2,2,0,0,0,0,0,4
hyperledger/besu-docs,2022-05,0,0,0,0,0,1,0,0,1
hyperledger/homebrew-besu,2020-12,1,0,1,0,0,0,0,0,2
hyperledger/homebrew-besu,2021-08,0,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2022-02,0,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2022-05,0,0,1,0,0,0,0,0,1
hyperledger/homebrew-besu,2022-09,0,0,1,0,0,0,0,0,1
hyperledger/besu-native,2021-08,0,0,2,0,0,0,0,0,2
