repo,month,DeleteEvent,CreateEvent,PullRequestEvent,PushEvent,IssuesEvent,IssueCommentEvent,ForkEvent,PullRequestReviewEvent,WatchEvent,total
LF-Decentralized-Trust-labs/cbweb3,2025-09,0,0,1,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/cbweb3,2025-10,4,1,1,1,1,1,0,0,1,10
LF-Decentralized-Trust-labs/cbweb3,2025-11,0,0,0,0,0,0,0,1,0,1
LF-Decentralized-Trust-labs/cbweb3,2026-02,1,4,2,2,4,0,0,0,0,13
LF-Decentralized-Trust-labs/cbweb3,2026-03,3,2,1,4,0,1,0,0,0,11
LF-Decentralized-Trust-labs/cbweb3,2026-04,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust-labs/governance,2025-09,0,0,0,0,0,0,1,0,0,1
LF-Decentralized-Trust-labs/governance,2025-11,0,0,1,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/governance,2026-02,0,0,1,0,0,0,0,0,0,1
