repo,month,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,PushEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,IssuesEvent,ForkEvent,GollumEvent,ReleaseEvent,total
hyperledger-labs/SmartBFT,2025-08,2,3,1,2,0,0,0,0,0,0,0,8
hyperledger-labs/SmartBFT,2025-09,2,2,0,4,0,0,0,0,0,0,0,8
hyperledger-labs/SmartBFT,2025-10,0,2,0,1,0,0,0,0,0,0,0,3
hyperledger-labs/SmartBFT,2025-11,0,1,0,2,0,0,0,0,0,0,0,3
hyperledger-labs/SmartBFT,2025-12,0,3,0,0,0,2,1,0,0,0,0,6
hyperledger-labs/SmartBFT,2026-02,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/SmartBFT,2026-05,2,1,0,3,0,4,2,0,0,0,1,13
hyperledger/fabric-chaincode-go,2024-09,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-go,2024-11,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/fabric-chaincode-go,2024-12,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-go,2025-01,13,32,13,7,24,1,1,0,0,0,0,91
hyperledger/fabric-chaincode-go,2025-02,7,14,10,2,12,0,0,0,0,0,0,45
hyperledger/fabric-chaincode-go,2025-03,2,3,0,3,0,0,0,0,0,0,0,8
hyperledger/fabric-chaincode-go,2025-04,2,2,0,2,0,0,0,0,0,0,0,6
hyperledger/fabric-chaincode-go,2025-05,2,1,0,1,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-go,2025-06,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-go,2025-07,1,1,0,2,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-go,2025-08,6,3,0,5,0,0,0,0,0,0,0,14
hyperledger/fabric-chaincode-go,2025-09,1,2,0,1,0,0,0,0,0,0,0,4
hyperledger/fabric-chaincode-go,2025-10,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-go,2025-11,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-go,2026-02,0,2,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-chaincode-go,2026-03,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2024-04,1,0,4,0,0,0,0,0,1,0,0,6
hyperledger/fabric-protos,2024-12,2,6,2,0,7,0,0,0,0,0,0,17
hyperledger/fabric-protos,2025-01,2,2,1,2,0,0,0,0,0,0,0,7
hyperledger/fabric-protos,2025-02,4,5,4,3,0,1,0,0,0,0,0,17
hyperledger/fabric-protos,2025-04,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2025-09,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2025-10,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2026-03,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2026-04,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-protos,2026-05,0,0,1,4,0,1,0,0,0,0,0,6
hyperledger/fabric-rfcs,2024-10,0,2,1,0,1,0,0,0,0,0,0,4
hyperledger/fabric-rfcs,2024-11,0,1,12,0,1,0,0,0,0,0,0,14
hyperledger/fabric-rfcs,2024-12,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/fabric-rfcs,2025-05,0,0,21,0,0,0,0,0,0,0,0,21
hyperledger/fabric-rfcs,2025-06,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2025-09,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2025-12,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2026-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-lib-go,2024-03,2,0,0,0,0,0,0,0,1,0,0,3
hyperledger/fabric-lib-go,2024-12,2,2,0,2,0,0,0,0,0,0,0,6
hyperledger/fabric-lib-go,2025-01,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-lib-go,2025-04,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger/fabric-lib-go,2025-06,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-lib-go,2025-08,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-lib-go,2025-09,1,0,1,1,0,0,0,0,0,0,0,3
hyperledger/fabric-lib-go,2026-05,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger/fabric-config,2024-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-config,2024-09,1,3,3,0,3,0,0,0,0,0,0,10
hyperledger/fabric-config,2026-03,0,0,2,4,0,0,0,0,0,0,0,6
hyperledger-labs/hyperledger-labs.github.io,2024-03,1,4,2,0,4,0,0,0,1,0,0,12
hyperledger/fabric-samples,2024-05,0,4,0,0,4,0,0,0,0,0,0,8
hyperledger/fabric-sdk-go,2024-10,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-sdk-go,2024-12,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-go,2025-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-go,2025-03,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/governance,2024-03,0,0,3,0,0,0,0,1,0,0,0,4
hyperledger/fabric-protos-go,2025-03,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-protos-go-apiv2,2025-03,1,0,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-docs-i18n,2026-03,0,0,0,0,0,1,0,0,0,0,0,1
