repo,month,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,PushEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,IssuesEvent,ForkEvent,GollumEvent,ReleaseEvent,total
hyperledger/fabric,2024-01,7,12,7,0,12,0,0,0,0,0,0,38
hyperledger/fabric,2024-02,2,4,4,0,4,0,0,0,0,0,0,14
hyperledger/fabric,2024-03,5,0,12,0,0,0,0,0,0,0,0,17
hyperledger/fabric,2024-04,2,1,0,0,1,0,0,0,0,0,0,4
hyperledger/fabric,2024-05,1,4,5,0,4,0,0,0,0,0,0,14
hyperledger/fabric,2024-06,10,6,5,0,5,0,0,0,0,0,0,26
hyperledger/fabric,2024-07,5,5,3,0,5,0,0,0,0,0,0,18
hyperledger/fabric,2024-08,12,5,24,0,7,0,0,0,0,0,0,48
hyperledger/fabric,2024-09,6,7,14,0,4,0,0,0,0,0,0,31
hyperledger/fabric,2024-10,27,10,19,0,9,0,0,2,0,0,0,67
hyperledger/fabric,2024-11,2,0,2,0,0,0,0,0,0,0,0,4
hyperledger/fabric,2024-12,6,12,14,5,5,0,0,2,0,0,0,44
hyperledger/fabric,2025-01,10,17,5,6,8,1,1,2,0,0,0,50
hyperledger/fabric,2025-02,20,20,5,7,12,1,1,1,0,0,0,67
hyperledger/fabric,2025-03,8,13,3,8,6,0,0,0,0,0,0,38
hyperledger/fabric,2025-04,3,2,4,1,0,0,0,0,0,0,0,10
hyperledger/fabric,2025-05,8,11,3,3,6,1,1,0,0,0,0,33
hyperledger/fabric,2025-06,9,3,0,4,0,0,0,0,0,0,0,16
hyperledger/fabric,2025-07,4,1,2,1,0,0,0,0,0,0,0,8
hyperledger/fabric,2025-08,4,7,5,3,3,0,0,0,0,0,0,22
hyperledger/fabric,2025-09,3,9,1,1,10,0,0,0,0,0,0,24
hyperledger/fabric,2025-10,2,1,2,0,0,0,0,0,0,0,0,5
hyperledger/fabric,2025-11,5,2,2,1,1,0,0,0,0,0,0,11
hyperledger/fabric,2025-12,3,1,0,0,0,0,0,0,0,0,0,4
hyperledger/fabric,2026-01,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/fabric,2026-02,9,2,4,4,0,0,0,0,0,0,0,19
hyperledger/fabric,2026-03,3,1,1,2,0,1,0,0,0,0,0,8
hyperledger/fabric,2026-04,2,1,1,2,0,0,1,0,0,0,0,7
hyperledger/fabric,2026-05,1,0,1,3,1,0,0,0,0,0,0,6
hyperledger-labs/SmartBFT,2024-03,5,3,2,5,0,6,2,4,1,0,0,28
hyperledger-labs/SmartBFT,2024-04,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger-labs/SmartBFT,2024-05,12,0,0,8,0,5,7,0,0,0,0,32
hyperledger-labs/SmartBFT,2024-06,4,0,0,2,0,1,3,0,0,0,0,10
hyperledger-labs/SmartBFT,2024-08,1,1,0,1,0,0,0,0,0,0,0,3
hyperledger-labs/SmartBFT,2024-09,2,0,0,3,0,1,1,0,0,0,0,7
hyperledger-labs/SmartBFT,2024-10,2,1,1,4,1,1,1,0,0,0,0,11
hyperledger-labs/SmartBFT,2024-11,3,3,0,3,0,0,0,0,0,0,0,9
hyperledger-labs/SmartBFT,2024-12,2,2,0,1,0,0,0,0,0,0,0,5
hyperledger-labs/SmartBFT,2025-01,2,3,1,3,0,0,0,1,0,1,0,11
hyperledger-labs/SmartBFT,2025-02,0,1,0,2,0,0,0,0,0,0,0,3
hyperledger-labs/SmartBFT,2025-03,7,2,0,17,0,3,3,0,0,0,0,32
hyperledger-labs/SmartBFT,2025-04,4,2,10,4,0,0,2,0,0,0,0,22
hyperledger-labs/SmartBFT,2025-05,3,2,7,4,0,3,1,0,0,0,0,20
hyperledger-labs/SmartBFT,2025-06,4,2,1,3,0,0,0,0,0,0,0,10
hyperledger-labs/SmartBFT,2025-07,1,1,0,1,0,0,0,0,0,0,0,3
