repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,CreateEvent,DeleteEvent,ReleaseEvent,CommitCommentEvent,ForkEvent,total
hyperledger/iroha,2021-11,71,59,8,2,17,5,1,1,0,0,0,164
hyperledger/iroha,2021-12,152,115,15,18,19,7,0,0,0,0,0,326
hyperledger/iroha,2022-01,100,92,0,3,16,7,0,0,0,0,0,218
hyperledger/iroha,2022-02,97,76,10,11,13,5,0,0,0,0,0,212
hyperledger/iroha,2022-03,99,95,25,19,12,1,0,0,0,0,0,251
hyperledger/iroha,2022-04,165,162,11,13,5,1,0,0,0,0,0,357
hyperledger/iroha,2022-05,116,90,8,6,4,0,1,0,1,0,0,226
hyperledger/iroha,2022-06,162,162,17,2,6,0,0,0,0,0,0,349
hyperledger/iroha,2022-07,172,118,20,18,3,1,0,0,0,0,0,332
hyperledger/iroha,2022-08,156,156,7,6,5,0,0,0,0,0,0,330
hyperledger/iroha,2022-09,72,55,7,7,5,1,1,0,0,0,0,148
hyperledger/iroha,2022-10,60,39,3,5,2,0,0,0,0,0,0,109
hyperledger/iroha,2022-11,28,15,2,3,4,1,0,0,0,0,0,53
hyperledger/iroha,2022-12,70,55,6,9,8,3,0,0,0,0,0,151
hyperledger/iroha,2023-01,105,85,12,9,6,2,0,0,0,0,0,219
hyperledger/iroha,2023-02,111,119,11,6,6,1,0,0,0,0,0,254
hyperledger/iroha,2023-03,216,222,10,10,6,1,0,0,0,0,0,465
hyperledger/iroha,2023-04,212,203,15,16,14,6,0,0,0,1,0,467
hyperledger/iroha,2023-05,203,171,27,9,14,5,0,0,0,0,0,429
hyperledger/iroha,2023-06,168,140,12,13,7,2,0,0,0,0,0,342
hyperledger/iroha,2023-07,52,52,9,10,7,2,0,0,0,0,0,132
hyperledger/iroha,2023-08,23,14,34,27,7,4,0,0,0,0,0,109
hyperledger/iroha,2023-09,108,90,44,27,12,6,0,0,0,0,0,287
hyperledger/iroha,2023-10,118,77,51,31,30,10,2,0,0,0,0,319
