repo,month,CommitCommentEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,total
openwallet-foundation-labs/identity-credential,2023-11,7,0,0,7
openwallet-foundation-labs/identity-credential,2023-12,0,2,2,4
openwallet-foundation-labs/identity-credential,2024-05,0,1,1,2
openwallet-foundation-labs/identity-credential,2024-10,0,2,1,3
