repo,month,CreateEvent,ReleaseEvent,total
openwallet-foundation/acapy-plugins,2025-03,1,1,2
openwallet-foundation/acapy-plugins,2025-04,1,1,2
openwallet-foundation/acapy-plugins,2025-05,1,1,2
openwallet-foundation/acapy-plugins,2025-07,1,0,1
openwallet-foundation/acapy-plugins,2025-08,1,1,2
