repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssuesEvent,DeleteEvent,IssueCommentEvent,total
credebl/studio,2024-04,4,1,0,1,0,0,0,0,6
credebl/studio,2024-05,0,1,0,0,0,0,0,0,1
credebl/studio,2024-06,1,3,0,1,2,0,0,0,7
credebl/studio,2024-07,4,0,0,0,0,0,0,0,4
credebl/studio,2024-08,1,0,0,0,0,0,0,0,1
credebl/studio,2024-10,1,0,0,0,0,0,0,0,1
credebl/studio,2024-12,2,0,1,0,0,0,0,0,3
credebl/studio,2025-01,0,0,0,1,1,0,0,0,2
credebl/studio,2025-04,4,0,5,0,1,0,0,0,10
credebl/studio,2025-05,30,13,22,3,2,1,2,0,73
credebl/studio,2025-06,11,2,1,0,0,0,0,0,14
credebl/studio,2025-07,14,7,0,4,2,0,0,0,27
credebl/studio,2025-08,7,12,1,5,2,0,0,0,27
credebl/studio,2025-09,25,11,4,10,5,0,0,1,56
credebl/studio,2025-10,2,0,0,0,0,0,0,0,2
credebl/studio,2025-11,0,0,0,0,1,0,0,0,1
credebl/studio,2025-12,2,1,5,0,0,0,0,0,8
credebl/studio,2026-03,1,0,0,0,0,0,0,0,1
credebl/platform,2024-02,0,3,0,1,0,0,0,0,4
credebl/platform,2024-03,14,2,0,0,0,0,0,0,16
credebl/platform,2024-04,9,0,3,0,0,0,0,0,12
credebl/platform,2024-06,2,1,0,1,0,1,0,0,5
credebl/platform,2024-07,5,0,0,1,0,8,0,0,14
credebl/platform,2024-08,2,0,0,0,0,0,0,0,2
credebl/platform,2024-10,3,2,0,2,0,0,0,0,7
credebl/platform,2024-12,1,0,0,0,0,0,0,0,1
credebl/platform,2025-02,1,0,0,0,0,0,0,0,1
credebl/platform,2025-05,1,0,0,0,0,0,0,0,1
credebl/platform,2025-06,1,0,0,0,0,0,0,0,1
credebl/platform,2025-07,2,6,0,2,0,0,0,0,10
credebl/platform,2025-08,4,7,1,9,2,0,0,0,23
credebl/platform,2025-09,7,8,5,6,2,0,0,0,28
credebl/platform,2025-12,1,3,0,0,0,0,0,0,4
credebl/platform,2026-01,5,4,8,5,3,0,0,0,25
credebl/platform,2026-02,3,5,5,1,2,0,0,0,16
credebl/platform,2026-03,1,0,0,0,0,0,0,0,1
credebl/credo-controller,2025-12,1,4,0,0,1,0,0,0,6
credebl/credo-controller,2026-01,6,6,2,3,1,0,0,0,18
credebl/agent-controller,2026-01,0,4,0,0,0,0,0,0,4
credebl/agent-controller,2026-02,3,3,2,2,2,0,1,1,14
credebl/agent-controller,2026-03,1,0,0,0,0,0,0,0,1
credebl/verifier-app,2024-04,0,0,0,0,1,0,0,0,1
credebl/verifier-app,2024-05,0,3,0,1,0,0,0,0,4
credebl/platform-admin,2026-03,2,0,0,0,0,0,0,0,2
credebl/afj-controller,2024-03,1,0,0,0,0,0,0,0,1
credebl/credebl-aries-oca-bundles,2024-05,1,0,0,0,0,0,0,0,1
credebl/docs,2024-09,1,0,0,0,0,0,0,0,1
