repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,PushEvent,IssueCommentEvent,IssuesEvent,ForkEvent,total
hyperledger/iroha-2-docs,2024-07,0,0,2,0,4,0,1,7
hyperledger/iroha-2-docs,2024-08,10,10,0,0,0,0,0,20
hyperledger/iroha-2-docs,2024-09,7,7,4,2,1,3,0,24
hyperledger-iroha/iroha-2-docs,2024-10,0,0,1,0,0,0,0,1
hyperledger-iroha/iroha-2-docs,2025-03,9,9,2,1,1,0,0,22
hyperledger-iroha/iroha-2-docs,2025-04,5,3,1,2,0,0,0,11
hyperledger-iroha/iroha-2-docs,2025-05,0,0,0,2,0,0,0,2
hyperledger-iroha/iroha,2024-11,0,0,0,0,0,1,0,1
hyperledger-iroha/iroha-javascript,2025-05,0,1,0,0,0,0,0,1
