repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,ForkEvent,total
openwallet-foundation-labs/identity-credential,2024-06,0,0,3,0,1,4
openwallet-foundation-labs/identity-credential,2024-07,0,0,1,0,0,1
openwallet-foundation-labs/identity-credential,2024-08,8,8,1,0,0,17
openwallet-foundation-labs/identity-credential,2024-09,37,36,0,2,0,75
openwallet-foundation-labs/identity-credential,2024-11,21,22,1,1,0,45
