repo,month,PullRequestEvent,IssueCommentEvent,PullRequestReviewEvent,ForkEvent,PushEvent,IssuesEvent,total
hyperledger/aries-framework-dotnet,2019-12,2,0,0,1,0,0,3
hyperledger/aries-framework-dotnet,2020-12,5,2,0,1,0,0,8
hyperledger/aries-framework-dotnet,2021-01,0,1,0,0,0,0,1
hyperledger/aries-framework-dotnet,2022-08,0,0,3,0,0,0,3
hyperledger/aries-framework-dotnet,2022-10,1,0,1,0,1,0,3
hyperledger/aries-framework-dotnet,2022-11,0,0,1,0,1,0,2
hyperledger/indy-vdr,2022-08,5,0,0,0,0,0,5
hyperledger/indy-vdr,2023-02,2,1,0,0,0,0,3
hyperledger/indy-vdr,2023-03,0,1,0,0,0,0,1
hyperledger/aries-askar,2022-08,1,0,0,0,0,0,1
hyperledger/aries-askar,2023-02,1,0,0,0,0,0,1
hyperledger/aries-rfcs,2019-12,1,0,0,1,0,0,2
hyperledger/indy-sdk,2021-03,0,0,0,1,0,0,1
hyperledger/indy-sdk,2021-06,0,0,0,0,0,1,1
hyperledger/indy-shared-rs,2022-08,1,0,0,0,0,0,1
