repo,month,PushEvent,PullRequestReviewEvent,IssuesEvent,CreateEvent,DeleteEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssueCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-03,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-consensus-node,2025-06,4,4,3,2,1,3,1,0,18
hiero-ledger/hiero-consensus-node,2025-07,30,6,3,2,1,0,2,1,45
hiero-ledger/hiero-consensus-node,2025-08,9,1,2,0,1,0,0,0,13
hiero-ledger/hiero-consensus-node,2025-09,6,0,0,0,0,0,0,0,6
hiero-ledger/hiero-consensus-node,2025-10,0,0,0,1,1,0,0,0,2
hiero-ledger/hiero-consensus-node,2025-11,2,0,0,2,1,0,0,0,5
