repo,month,PushEvent,PullRequestEvent,IssuesEvent,CreateEvent,DeleteEvent,PullRequestReviewEvent,IssueCommentEvent,ReleaseEvent,PullRequestReviewCommentEvent,total
hiero-ledger/hiero-sdk-swift,2025-01,0,0,1,0,0,0,1,0,0,2
hiero-ledger/hiero-sdk-swift,2025-02,22,9,5,4,5,4,3,1,1,54
hiero-ledger/hiero-sdk-swift,2025-03,20,5,8,6,3,0,0,2,0,44
hiero-ledger/hiero-sdk-swift,2025-04,5,2,0,2,1,0,0,0,0,10
hiero-ledger/hiero-sdk-rust,2025-03,20,7,6,4,3,1,1,1,0,43
hiero-ledger/hiero-sdk-rust,2025-04,9,7,2,3,4,3,0,0,0,28
hiero-ledger/tsc,2024-12,0,0,0,0,0,0,2,0,0,2
