repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,DeleteEvent,CreateEvent,ForkEvent,WatchEvent,ReleaseEvent,CommitCommentEvent,GollumEvent,total
hyperledger-labs/fabric-smart-client,2023-11,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-smart-client,2023-12,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-smart-client,2024-02,7,2,1,0,0,0,0,0,0,0,0,0,0,10
hyperledger-labs/fabric-smart-client,2024-04,2,1,1,8,2,2,0,0,0,0,0,0,0,16
hyperledger-labs/fabric-smart-client,2024-05,3,3,0,2,0,0,0,0,0,0,0,0,0,8
hyperledger-labs/fabric-smart-client,2024-08,1,2,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-smart-client,2024-09,13,10,3,9,2,1,2,0,0,0,0,0,0,40
hyperledger-labs/fabric-smart-client,2024-10,0,1,0,3,2,0,0,0,0,0,0,0,0,6
hyperledger-labs/fabric-smart-client,2024-11,0,2,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-smart-client,2024-12,3,4,0,0,0,0,0,0,0,0,0,0,0,7
hyperledger-labs/fabric-smart-client,2025-03,2,1,10,11,5,0,1,1,0,0,0,0,0,31
hyperledger-labs/fabric-smart-client,2025-04,4,7,7,8,5,2,0,0,0,0,0,0,0,33
hyperledger-labs/fabric-smart-client,2025-05,6,4,4,2,2,1,0,0,0,0,0,0,0,19
hyperledger-labs/fabric-smart-client,2025-06,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-smart-client,2025-07,4,5,4,8,2,2,1,2,0,0,0,0,0,28
hyperledger-labs/fabric-smart-client,2025-08,3,9,3,3,2,1,0,0,0,0,0,0,0,21
hyperledger-labs/fabric-smart-client,2025-09,8,5,1,2,2,3,0,1,0,0,0,0,0,22
hyperledger-labs/fabric-smart-client,2025-10,4,5,2,13,8,8,0,0,0,0,0,0,0,40
hyperledger-labs/fabric-smart-client,2025-11,23,9,4,7,6,5,3,0,0,0,0,0,0,57
hyperledger-labs/fabric-smart-client,2025-12,12,7,0,2,0,1,0,0,0,0,0,0,0,22
hyperledger-labs/fabric-smart-client,2026-01,3,3,4,18,3,6,0,0,0,0,0,0,0,37
hyperledger-labs/fabric-smart-client,2026-02,4,5,6,13,10,40,1,0,0,0,0,0,0,79
hyperledger-labs/fabric-smart-client,2026-03,4,7,1,1,7,2,3,0,0,0,0,0,0,25
hyperledger-labs/fabric-smart-client,2026-04,6,4,4,4,14,7,2,0,0,0,0,0,0,41
hyperledger-labs/fabric-smart-client,2026-05,8,5,1,2,11,5,0,0,0,0,0,0,0,32
hyperledger/fabric-private-chaincode,2021-04,0,1,3,2,2,2,0,0,0,0,0,0,0,10
hyperledger/fabric-private-chaincode,2021-05,9,13,8,15,8,3,1,1,0,0,0,0,0,58
hyperledger/fabric-private-chaincode,2021-06,11,3,4,6,3,0,0,0,0,0,0,0,0,27
hyperledger/fabric-private-chaincode,2021-07,18,19,10,3,2,2,0,0,0,0,0,0,0,54
hyperledger/fabric-private-chaincode,2021-08,8,10,12,8,4,11,0,0,0,0,0,0,0,53
hyperledger/fabric-private-chaincode,2021-09,0,3,8,12,8,5,0,1,0,0,1,0,0,38
hyperledger/fabric-private-chaincode,2021-10,0,0,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-private-chaincode,2021-11,2,4,4,1,0,0,0,0,0,0,0,0,0,11
hyperledger/fabric-private-chaincode,2021-12,3,3,11,6,2,0,0,0,0,0,0,0,0,25
hyperledger/fabric-private-chaincode,2022-01,2,3,15,7,5,4,0,1,0,0,1,0,0,38
hyperledger/fabric-private-chaincode,2022-02,1,3,1,7,4,0,0,1,0,0,0,0,0,17
hyperledger/fabric-private-chaincode,2022-03,29,11,13,9,3,2,0,0,0,2,0,0,0,69
hyperledger/fabric-private-chaincode,2022-04,2,4,3,8,4,0,0,0,0,0,0,0,0,21
hyperledger/fabric-private-chaincode,2022-05,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-private-chaincode,2022-06,0,2,2,3,3,0,0,0,0,0,0,0,0,10
hyperledger/fabric-private-chaincode,2022-07,1,1,5,4,2,1,0,0,0,0,0,0,0,14
hyperledger/fabric-private-chaincode,2022-08,0,1,4,8,3,1,0,0,0,0,0,0,0,17
hyperledger/fabric-private-chaincode,2022-09,0,0,0,3,2,0,0,0,0,0,0,0,0,5
hyperledger/fabric-private-chaincode,2022-11,0,0,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-private-chaincode,2023-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-private-chaincode,2023-02,0,0,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/fabric-private-chaincode,2023-04,0,0,0,8,2,1,2,0,0,0,0,0,0,13
hyperledger/fabric-private-chaincode,2023-06,0,0,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-private-chaincode,2023-07,0,0,13,2,2,2,0,0,0,0,0,0,0,19
hyperledger/fabric-private-chaincode,2023-08,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-private-chaincode,2023-09,0,0,3,3,2,1,0,0,0,0,0,0,0,9
hyperledger/fabric-private-chaincode,2023-10,17,15,4,17,10,3,0,0,0,0,0,0,0,66
hyperledger/fabric-private-chaincode,2023-11,0,0,2,1,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-private-chaincode,2023-12,1,1,1,3,3,2,0,0,0,0,0,0,0,11
hyperledger/fabric-private-chaincode,2024-01,1,3,0,1,1,1,0,0,0,0,0,0,0,7
hyperledger/fabric-private-chaincode,2024-02,2,4,0,1,1,0,0,0,0,0,0,0,0,8
hyperledger/fabric-private-chaincode,2024-03,0,0,2,0,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-private-chaincode,2024-04,0,0,16,8,5,1,1,1,0,0,0,0,0,32
hyperledger/fabric-private-chaincode,2024-05,6,6,8,3,2,3,0,0,0,0,0,0,0,28
hyperledger/fabric-private-chaincode,2024-06,1,2,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric-private-chaincode,2024-07,5,8,3,0,1,0,0,0,0,0,0,0,0,17
hyperledger/fabric-private-chaincode,2024-08,0,0,0,0,0,0,1,1,0,0,0,0,0,2
hyperledger/fabric-private-chaincode,2024-09,2,2,2,1,0,0,0,0,0,0,0,0,0,7
