repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,CreateEvent,IssuesEvent,DeleteEvent,CommitCommentEvent,ForkEvent,total
pq-code-package/mlkem-native,2024-11,18,13,15,16,9,7,2,1,0,0,81
pq-code-package/mlkem-native,2024-12,0,2,1,3,1,0,2,0,0,0,9
pq-code-package/mlkem-native,2025-01,48,35,25,10,5,4,2,0,0,0,129
pq-code-package/mlkem-native,2025-02,54,2,1,5,4,6,2,0,0,0,74
pq-code-package/mlkem-native,2025-03,75,13,17,7,2,2,0,0,0,0,116
pq-code-package/mlkem-native,2025-04,7,1,0,2,2,2,1,0,0,0,15
pq-code-package/mlkem-native,2025-05,8,0,0,1,2,1,0,0,0,0,12
pq-code-package/mlkem-native,2025-06,20,0,0,1,1,1,0,0,0,0,23
pq-code-package/mlkem-native,2025-07,5,2,2,3,2,2,1,0,0,0,17
pq-code-package/mlkem-native,2025-08,9,0,0,2,0,0,0,0,0,0,11
pq-code-package/mlkem-native,2025-09,4,8,6,3,1,1,0,0,0,0,23
pq-code-package/mlkem-native,2025-10,8,0,0,0,0,0,0,0,0,0,8
pq-code-package/mlkem-native,2025-11,3,1,1,0,2,2,1,0,0,0,10
pq-code-package/mlkem-native,2025-12,3,0,0,1,0,1,1,0,0,0,6
pq-code-package/mlkem-native,2026-01,1,0,0,1,1,1,0,0,0,0,4
pq-code-package/mlkem-native,2026-02,3,0,0,2,0,0,0,0,0,0,5
pq-code-package/mlkem-native,2026-03,10,1,1,1,2,2,0,0,0,0,17
pq-code-package/mlkem-native,2026-04,10,0,1,0,2,1,0,0,0,0,14
pq-code-package/mlkem-native,2026-05,3,0,0,0,0,0,0,0,0,0,3
pq-code-package/mldsa-native,2025-02,0,0,0,3,0,0,1,0,0,0,4
pq-code-package/mldsa-native,2025-03,8,9,5,10,2,1,0,0,0,0,35
pq-code-package/mldsa-native,2025-04,38,37,36,17,11,8,12,5,0,0,164
pq-code-package/mldsa-native,2025-05,20,23,19,16,11,8,4,3,0,0,104
pq-code-package/mldsa-native,2025-06,20,2,2,5,1,4,1,0,0,0,35
pq-code-package/mldsa-native,2025-07,19,14,17,2,2,3,2,0,2,0,61
pq-code-package/mldsa-native,2025-09,0,2,2,2,3,2,0,0,0,0,11
pq-code-package/mldsa-native,2025-10,5,2,3,2,0,0,0,0,0,0,12
pq-code-package/mldsa-native,2025-11,16,4,1,4,1,1,2,0,0,0,29
pq-code-package/mldsa-native,2025-12,2,0,0,0,0,0,0,0,0,0,2
pq-code-package/mldsa-native,2026-02,0,1,1,0,0,0,0,0,0,0,2
pq-code-package/mldsa-native,2026-03,0,2,2,0,3,1,0,0,0,0,8
pq-code-package/mldsa-native,2026-04,0,0,0,0,2,2,3,0,0,0,7
pq-code-package/mlkem-c-aarch64,2024-05,0,0,0,4,0,0,0,0,0,0,4
pq-code-package/mlkem-c-aarch64,2024-06,0,3,3,25,5,0,2,0,0,1,39
pq-code-package/mlkem-c-aarch64,2024-07,0,0,0,2,0,0,0,0,0,0,2
pq-code-package/mlkem-c-aarch64,2024-08,0,0,0,0,3,0,1,0,0,0,4
pq-code-package/mlkem-c-aarch64,2024-09,0,13,15,8,4,0,4,0,0,0,44
pq-code-package/mlkem-c-aarch64,2024-10,31,65,71,11,7,5,2,0,0,0,192
pq-code-package/mlkem-c-aarch64,2024-11,25,46,42,7,3,3,0,0,0,0,126
