repo,month,PushEvent,DeleteEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,GollumEvent,ForkEvent,total
LFDT-Verii/core,2025-07,4,1,3,3,1,0,0,0,2,0,14
LFDT-Verii/core,2025-08,40,11,24,8,6,2,1,0,0,0,92
LFDT-Verii/core,2025-09,15,8,11,6,5,7,1,0,0,0,53
LFDT-Verii/core,2025-10,12,7,11,2,10,1,0,0,0,0,43
LFDT-Verii/core,2025-11,7,3,2,7,1,1,0,0,0,0,21
LFDT-Verii/core,2025-12,10,4,4,5,6,0,0,0,0,0,29
LFDT-Verii/core,2026-01,17,6,4,1,3,0,2,0,0,0,33
LFDT-Verii/core,2026-02,81,17,23,25,15,16,0,0,0,0,177
LFDT-Verii/core,2026-03,30,16,7,13,4,3,0,0,0,0,73
LFDT-Verii/core,2026-04,94,38,20,32,20,30,3,4,0,0,241
LFDT-Verii/core,2026-05,33,12,3,2,7,1,1,0,0,0,59
trustoverip/tswg-trust-registry-protocol,2024-06,0,0,1,0,0,0,0,2,0,1,4
trustoverip/tswg-trust-registry-protocol,2025-04,0,0,0,0,0,0,1,7,0,0,8
trustoverip/tswg-trust-registry-protocol,2025-05,0,0,0,0,0,0,6,0,0,0,6
trustoverip/tswg-trust-registry-protocol,2025-06,0,0,0,2,0,1,0,0,0,0,3
trustoverip/tswg-trust-registry-protocol,2025-07,0,0,0,1,0,1,1,0,0,0,3
trustoverip/tswg-trust-registry-protocol,2025-10,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/project-proposals,2025-04,0,0,1,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/project-proposals,2025-05,0,0,0,1,0,3,3,0,0,0,7
openwallet-foundation/credo-ts,2025-01,0,0,1,0,0,0,0,1,0,0,2
openwallet-foundation/credo-ts,2025-03,0,0,2,0,0,0,2,0,0,0,4
openwallet-foundation/credo-ts,2025-05,0,0,0,0,0,0,2,0,0,0,2
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-05,0,0,1,0,0,0,2,0,0,0,3
LFDT-Verii/.github,2025-07,0,0,1,0,2,0,0,0,0,0,3
trustoverip/tswg-trust-registry-query-language,2025-05,0,0,0,0,0,0,0,3,0,0,3
LFDT-Verii/governance,2025-07,0,0,0,1,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-service-profile,2024-04,0,0,0,0,0,0,0,1,0,0,1
