repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,total
hiero-ledger/hiero-sdk-python,2025-11,3,1,0,2,6
hiero-ledger/hiero-sdk-python,2025-12,7,7,3,1,18
hiero-ledger/hiero-sdk-python,2026-01,7,1,3,2,13
hiero-ledger/hiero-sdk-cpp,2026-01,2,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2026-02,1,0,0,0,1
