repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,PushEvent,ForkEvent,CommitCommentEvent,CreateEvent,WatchEvent,total
hyperledger/besu,2022-06,0,0,1,1,0,0,1,0,0,0,3
hyperledger/besu,2022-08,0,0,0,1,1,0,0,0,0,0,2
hyperledger/besu,2022-09,0,0,1,0,0,0,0,0,0,1,2
hyperledger/besu,2022-10,5,5,3,0,0,0,0,0,0,0,13
hyperledger/besu,2022-11,2,2,5,3,0,0,0,0,0,0,12
hyperledger/besu,2022-12,12,12,6,6,2,1,0,0,0,0,39
hyperledger/besu,2023-01,16,12,13,5,3,5,0,2,0,0,56
hyperledger/besu,2023-02,18,14,11,1,7,6,0,0,0,0,57
hyperledger/besu,2023-03,22,13,15,7,7,7,0,0,0,0,71
hyperledger/besu,2023-04,42,19,10,10,11,3,0,0,0,0,95
hyperledger/besu,2023-05,20,9,10,11,8,4,0,0,1,0,63
hyperledger/besu,2023-06,13,3,7,5,9,4,0,0,0,0,41
hyperledger/besu,2023-07,3,4,0,1,1,0,0,0,0,0,9
hyperledger/besu,2023-08,8,3,0,1,0,0,0,0,0,0,12
hyperledger/besu,2023-09,3,0,0,0,1,0,0,0,0,0,4
hyperledger/besu,2023-10,3,2,2,1,1,1,0,0,0,0,10
hyperledger/besu,2023-11,18,10,3,3,1,1,0,0,0,0,36
hyperledger/besu,2023-12,18,13,4,2,3,3,0,0,0,0,43
hyperledger/besu,2024-01,26,18,5,4,1,2,0,0,0,0,56
hyperledger/besu,2024-02,12,5,8,1,0,4,0,0,0,0,30
hyperledger/besu,2024-03,8,2,6,3,0,2,0,0,0,0,21
hyperledger/besu,2024-04,6,3,7,2,0,2,0,0,0,0,20
hyperledger/besu,2024-09,1,0,2,0,0,1,0,0,0,0,4
hyperledger/besu,2024-10,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2025-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-verkle-trie,2023-11,0,0,2,1,0,0,1,0,0,0,4
hyperledger/besu-verkle-trie,2023-12,0,0,1,0,1,1,0,0,0,0,3
hyperledger/besu-verkle-trie,2024-01,2,0,2,1,0,0,0,0,0,0,5
hyperledger/besu-verkle-trie,2024-02,0,0,3,0,0,2,0,0,0,0,5
hyperledger/besu-verkle-trie,2024-03,0,0,1,0,0,0,0,0,0,0,1
hyperledger/besu-verkle-trie,2024-04,4,3,1,1,0,0,0,0,0,0,9
hyperledger/besu-docs,2023-03,0,0,0,1,0,0,0,0,0,0,1
hyperledger/besu-docs,2023-04,6,2,0,0,0,0,0,0,0,0,8
hyperledger/besu-docs,2023-08,2,2,0,0,0,0,0,0,0,0,4
hyperledger/besu-docs,2023-09,2,0,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2023-11,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu-docs,2024-01,0,0,0,0,1,0,0,0,0,0,1
hyperledger/besu-docs,2024-02,1,0,0,2,0,0,0,0,0,0,3
hyperledger/besu-docs,2024-06,0,0,1,1,0,0,1,0,0,0,3
hyperledger/homebrew-besu,2023-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2023-08,2,1,0,0,0,0,0,0,0,0,3
hyperledger/homebrew-besu,2023-09,0,0,1,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2023-11,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-01,1,0,1,0,0,1,0,0,0,0,3
hyperledger/homebrew-besu,2024-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/homebrew-besu,2024-05,1,0,2,1,0,0,0,0,1,0,5
hyperledger/besu-native,2024-02,0,0,0,1,0,0,0,0,0,0,1
hyperledger/besu-native,2024-03,1,0,6,1,0,2,1,0,0,0,11
