repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,DeleteEvent,ForkEvent,CreateEvent,WatchEvent,GollumEvent,ReleaseEvent,total
hyperledger/aries-framework-javascript,2021-02,0,0,1,0,0,2,0,0,0,0,0,0,3
hyperledger/aries-framework-javascript,2021-04,0,0,6,2,0,0,0,1,0,0,0,0,9
hyperledger/aries-framework-javascript,2021-05,3,3,0,0,0,0,0,0,0,0,0,0,6
hyperledger/aries-framework-javascript,2021-06,0,0,2,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-framework-javascript,2021-07,2,2,3,1,0,0,0,0,0,0,0,0,8
hyperledger/aries-framework-javascript,2021-09,1,1,2,0,0,0,0,0,0,0,0,0,4
hyperledger/aries-framework-javascript,2021-12,0,0,1,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-framework-javascript,2022-01,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-javascript,2022-02,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-javascript,2022-03,1,0,2,2,0,0,0,0,0,0,0,0,5
hyperledger/aries-framework-javascript,2022-04,2,5,3,0,0,0,0,0,0,0,0,0,10
hyperledger/aries-framework-javascript,2022-05,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-javascript,2022-06,0,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-framework-javascript,2022-07,0,0,2,2,0,0,0,0,0,0,0,0,4
hyperledger/aries-framework-javascript,2022-08,33,27,19,8,1,1,0,0,0,2,0,0,91
hyperledger/aries-framework-javascript,2022-09,19,17,20,8,7,5,1,0,0,0,0,0,77
hyperledger/aries-framework-javascript,2022-10,21,16,13,13,8,5,0,0,0,0,0,0,76
hyperledger/aries-framework-javascript,2022-11,8,11,9,10,4,0,0,0,0,0,0,0,42
hyperledger/aries-framework-javascript,2022-12,26,14,11,10,4,5,0,0,0,0,0,0,70
hyperledger/aries-framework-javascript,2023-01,27,25,12,3,1,3,0,0,0,0,0,0,71
hyperledger/aries-framework-javascript,2023-02,75,62,20,37,20,18,0,0,0,0,0,0,232
hyperledger/aries-framework-javascript,2023-03,45,39,15,19,10,2,0,0,0,0,0,0,130
hyperledger/aries-framework-javascript,2023-04,11,8,3,10,5,1,0,0,0,0,0,0,38
hyperledger/aries-framework-javascript,2023-05,10,6,0,1,1,0,0,0,0,0,0,0,18
hyperledger/aries-framework-javascript,2023-06,11,12,4,0,0,0,0,0,0,0,0,0,27
hyperledger/aries-framework-javascript,2023-07,11,8,16,11,10,3,4,0,0,0,0,0,63
hyperledger/aries-framework-javascript,2023-08,18,5,14,12,10,2,1,0,0,0,0,0,62
hyperledger/aries-framework-javascript,2023-09,6,10,15,12,6,2,3,0,0,0,0,0,54
hyperledger/aries-framework-javascript,2023-10,3,1,11,5,2,2,1,0,0,0,0,0,25
hyperledger/aries-framework-javascript,2023-11,16,10,14,12,7,0,4,0,0,0,0,0,63
openwallet-foundation/credo-ts,2024-01,17,11,3,6,6,0,2,0,0,0,0,0,45
openwallet-foundation/credo-ts,2024-02,27,35,7,10,6,2,0,0,0,0,3,0,90
openwallet-foundation/credo-ts,2024-03,10,4,7,2,2,1,0,0,0,1,0,0,27
openwallet-foundation/credo-ts,2024-04,6,0,6,10,3,0,0,0,0,0,0,0,25
openwallet-foundation/credo-ts,2024-05,21,15,12,4,4,3,0,0,0,0,0,0,59
openwallet-foundation/credo-ts,2024-06,10,1,7,10,4,1,2,0,0,0,0,0,35
openwallet-foundation/credo-ts,2024-07,7,2,1,4,2,0,2,0,0,0,0,0,18
openwallet-foundation/credo-ts,2024-08,1,0,1,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2024-09,2,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2024-10,2,0,2,1,0,0,0,0,0,0,0,0,5
openwallet-foundation/credo-ts,2024-11,0,0,3,1,0,1,0,0,0,0,0,0,5
