repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssueCommentEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,ForkEvent,GollumEvent,CreateEvent,WatchEvent,ReleaseEvent,CommitCommentEvent,MemberEvent,total
hyperledger/cello,2017-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/cello,2018-02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/cello,2019-10,4,0,2,2,1,1,0,2,6,1,0,0,0,0,19
hyperledger/cello,2019-11,1,0,1,0,1,0,0,2,4,0,0,0,0,0,9
hyperledger/cello,2019-12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/cello,2020-01,9,0,8,0,1,0,7,0,0,0,0,0,0,0,25
hyperledger/cello,2020-02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/cello,2020-03,3,0,1,1,8,0,0,0,0,0,0,0,0,0,13
hyperledger/cello,2020-04,4,0,3,2,0,1,3,0,0,1,0,0,0,0,14
hyperledger/cello,2020-05,7,0,7,3,2,0,0,0,0,0,0,0,0,0,19
hyperledger/cello,2020-06,2,0,2,0,2,0,0,0,0,0,0,0,0,0,6
hyperledger/cello,2020-07,3,0,3,0,4,0,1,0,0,0,0,0,0,0,11
hyperledger/cello,2020-08,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
hyperledger/cello,2020-09,5,6,4,0,0,3,1,0,0,1,0,0,0,0,20
hyperledger/cello,2020-10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/cello,2020-11,4,4,4,5,3,0,2,0,0,0,0,0,0,0,22
hyperledger/cello,2020-12,4,5,3,1,0,0,1,0,0,0,0,0,0,0,14
hyperledger/cello,2021-01,12,9,9,2,2,1,1,0,0,0,0,0,0,0,36
hyperledger/cello,2021-02,3,3,2,2,0,1,0,0,0,0,0,0,0,0,11
hyperledger/cello,2021-03,11,10,10,1,2,0,3,0,0,0,0,0,0,0,37
hyperledger/cello,2021-04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/cello,2021-05,5,2,4,1,1,0,1,0,0,0,0,0,0,0,14
hyperledger/cello,2021-06,8,12,8,0,2,2,3,0,0,0,0,0,0,0,35
hyperledger/cello,2021-07,13,15,13,3,2,0,6,0,0,0,0,0,0,0,52
hyperledger/cello,2021-08,12,14,12,0,4,2,2,0,0,0,0,0,0,0,46
hyperledger/cello,2021-09,8,11,8,1,1,2,3,0,0,0,0,0,0,0,34
hyperledger/cello,2021-10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
hyperledger/cello,2021-11,9,9,8,3,0,1,0,0,0,0,0,0,0,0,30
