repo,month,IssueCommentEvent,IssuesEvent,PullRequestEvent,ForkEvent,CommitCommentEvent,WatchEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,total
hyperledger/aries-agent-test-harness,2022-07,16,6,4,1,1,0,0,0,28
hyperledger/aries-agent-test-harness,2022-08,11,3,2,0,0,0,0,0,16
hyperledger/aries-agent-test-harness,2022-10,6,4,1,0,0,0,0,0,11
hyperledger/aries-agent-test-harness,2022-11,4,2,1,0,0,0,0,0,7
hyperledger/aries-agent-test-harness,2022-12,9,9,6,0,0,0,0,0,24
hyperledger-labs/acapy-java-client,2022-03,0,0,0,1,0,0,0,0,1
hyperledger-labs/acapy-java-client,2022-04,36,15,9,0,1,0,0,0,61
hyperledger-labs/acapy-java-client,2022-05,4,0,0,0,0,0,0,0,4
hyperledger-labs/acapy-java-client,2022-08,1,2,0,0,0,0,0,0,3
hyperledger-labs/acapy-java-client,2023-01,1,1,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2022-03,0,1,0,1,0,0,0,0,2
hyperledger/aries-cloudagent-python,2022-04,7,7,1,0,0,0,0,0,15
hyperledger/aries-cloudagent-python,2022-06,4,2,0,0,0,0,0,0,6
hyperledger/aries-cloudagent-python,2022-07,1,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-08,1,1,1,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2022-11,8,2,0,0,0,0,0,0,10
hyperledger/aries-cloudagent-python,2023-01,2,2,0,0,0,0,0,0,4
hyperledger/aries-cloudagent-python,2023-02,2,0,0,0,0,0,0,0,2
hyperledger/indy-sdk,2021-11,2,0,1,1,0,0,0,0,4
hyperledger/indy-sdk,2021-12,0,0,0,0,0,1,0,0,1
hyperledger/indy-sdk,2022-01,6,4,6,0,0,0,1,1,18
hyperledger/indy-sdk,2022-02,7,7,1,0,0,0,0,0,15
hyperledger/indy-sdk,2022-03,0,1,0,0,0,0,0,0,1
hyperledger/indy-sdk,2023-01,0,1,0,0,0,0,0,0,1
hyperledger/besu,2022-09,2,1,0,0,0,0,0,0,3
hyperledger/besu,2022-10,10,2,0,1,0,0,0,0,13
hyperledger/aries-rfcs,2022-04,0,0,0,1,0,1,0,0,2
hyperledger/aries-acapy-controllers,2022-03,0,0,0,1,0,0,0,0,1
