repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,ForkEvent,WatchEvent,total
hyperledger-cacti/cacti,2024-10,2,6,1,0,0,0,0,0,0,0,9
hyperledger-cacti/cacti,2024-11,5,8,1,0,0,0,0,0,0,0,14
hyperledger-cacti/cacti,2024-12,5,4,3,5,0,0,0,0,0,0,17
hyperledger-cacti/cacti,2025-01,16,15,4,1,1,0,0,0,0,0,37
hyperledger-cacti/cacti,2025-02,3,3,9,1,3,18,0,0,0,0,37
hyperledger-cacti/cacti,2025-03,21,25,2,3,1,5,0,0,0,0,57
hyperledger-cacti/cacti,2025-04,13,11,5,2,3,2,0,0,0,0,36
hyperledger-cacti/cacti,2025-05,25,19,13,3,3,5,0,0,0,0,68
hyperledger-cacti/cacti,2025-06,7,4,0,0,2,0,0,0,0,0,13
hyperledger-cacti/cacti,2025-07,6,3,3,1,2,1,0,0,0,0,16
hyperledger-cacti/cacti,2025-08,6,14,4,2,2,0,0,0,0,0,28
hyperledger-cacti/cacti,2025-09,6,1,2,1,3,1,0,0,0,0,14
hyperledger-cacti/cacti,2025-10,8,0,1,6,0,3,0,1,0,0,19
hyperledger-cacti/cacti,2025-11,5,0,0,1,3,1,0,0,0,0,10
hyperledger-cacti/cacti,2025-12,1,0,0,1,0,1,0,0,0,0,3
hyperledger-cacti/cacti,2026-01,0,0,1,5,0,1,0,0,0,0,7
hyperledger-cacti/cacti,2026-02,0,1,1,3,1,0,2,1,0,0,9
hyperledger-cacti/cacti,2026-03,1,0,1,0,8,0,0,0,0,0,10
hyperledger-cacti/cacti,2026-04,3,0,0,0,7,0,0,0,0,0,10
hyperledger/cacti,2024-03,0,0,2,13,0,0,0,0,1,0,16
hyperledger/cacti,2024-04,2,2,5,0,0,0,0,0,0,1,10
hyperledger/cacti,2024-05,2,0,1,0,0,0,0,0,0,0,3
hyperledger/cacti,2024-06,4,4,1,0,0,0,0,0,0,0,9
hyperledger/cacti,2024-07,0,0,6,2,0,0,0,0,0,0,8
hyperledger/cacti,2024-08,5,5,3,0,0,0,0,0,0,0,13
hyperledger/cacti,2024-09,2,2,4,0,0,0,0,0,0,0,8
hyperledger/cacti,2024-10,0,0,2,1,0,0,0,0,0,0,3
hyperledger-labs/university-course,2025-06,0,0,0,0,0,0,0,0,1,0,1
