repo,month,PushEvent,DeleteEvent,PullRequestReviewEvent,PullRequestEvent,IssuesEvent,CreateEvent,PullRequestReviewCommentEvent,IssueCommentEvent,ForkEvent,ReleaseEvent,WatchEvent,total
hiero-ledger/hiero-sdk-swift,2026-03,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-tck,2025-11,0,0,2,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-tck,2026-01,1,1,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-website,2026-01,1,1,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-website,2026-03,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/identity-collaboration-hub,2026-01,2,0,0,1,1,0,0,0,0,0,0,4
hiero-ledger/tsc,2026-01,1,0,1,1,0,0,0,0,0,0,0,3
hiero-ledger/tsc,2026-02,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2026-01,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2026-02,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2026-03,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2026-01,1,0,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-go,2026-02,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2026-01,1,0,0,2,0,0,0,0,0,0,0,3
hiero-ledger/hiero-cryptography,2026-05,1,1,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-cpp,2026-01,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-cpp,2026-04,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/maintainer-days,2026-01,0,0,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-did-sdk-python,2026-01,0,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-docs,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-hederium,2026-01,0,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-11,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/tsc-eligibility-check,2026-01,0,0,1,0,0,0,0,0,0,0,0,1
