repo,month,IssueCommentEvent,IssuesEvent,total
LF-Decentralized-Trust-labs/cbweb3,2025-10,3,0,3
LF-Decentralized-Trust-labs/cbweb3,2025-11,2,0,2
LF-Decentralized-Trust-labs/cbweb3,2025-12,1,1,2
LF-Decentralized-Trust-labs/cbweb3,2026-01,1,1,2
