repo,month,PullRequestReviewEvent,IssueCommentEvent,total
openwallet-foundation-labs/sd-jwt-js,2024-01,2,0,2
openwallet-foundation-labs/sd-jwt-js,2024-02,14,1,15
openwallet-foundation-labs/sd-jwt-js,2024-03,5,0,5
