repo,month,PushEvent,IssuesEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,CreateEvent,PullRequestEvent,DeleteEvent,total
hiero-ledger/hiero-consensus-node,2025-02,7,3,5,5,2,0,1,1,24
hiero-ledger/hiero-consensus-node,2025-03,1,3,0,8,0,0,0,0,12
hiero-ledger/hiero-consensus-node,2025-04,0,5,2,2,0,0,0,0,9
hiero-ledger/hiero-consensus-node,2025-05,0,0,1,2,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2025-06,0,1,5,0,1,1,0,0,8
hiero-ledger/hiero-consensus-node,2025-07,38,5,33,8,27,2,6,0,119
hiero-ledger/hiero-consensus-node,2025-08,54,8,7,8,4,1,4,2,88
hiero-ledger/hiero-consensus-node,2025-09,60,17,1,9,1,6,8,1,103
hiero-ledger/hiero-consensus-node,2025-10,58,11,5,5,2,4,3,3,91
hiero-ledger/hiero-consensus-node,2025-11,62,15,17,10,11,6,5,4,130
hiero-ledger/hiero-consensus-node,2025-12,11,10,3,3,2,3,2,0,34
hiero-ledger/hiero-consensus-node,2026-01,34,13,6,3,0,2,4,1,63
hiero-ledger/hiero-consensus-node,2026-02,56,12,10,6,11,4,1,3,103
hiero-ledger/hiero-consensus-node,2026-03,54,1,1,4,1,7,5,3,76
hiero-ledger/hiero-consensus-node,2026-04,26,7,0,1,1,6,4,4,49
hiero-ledger/hiero-consensus-node,2026-05,29,8,0,1,0,5,3,1,47
hiero-ledger/solo,2025-04,2,0,1,0,0,0,0,0,3
hiero-ledger/solo,2025-05,5,2,0,0,0,2,0,0,9
hiero-ledger/solo,2025-06,8,0,0,0,0,0,0,0,8
hiero-ledger/solo,2025-07,6,1,0,0,0,1,0,0,8
hiero-ledger/solo,2025-08,3,1,1,0,0,0,0,0,5
hiero-ledger/solo,2025-09,1,0,0,0,0,1,0,0,2
hiero-ledger/solo,2025-11,2,1,0,0,0,0,0,0,3
hiero-ledger/solo,2025-12,0,8,0,0,0,0,0,0,8
hiero-ledger/solo,2026-01,0,0,0,1,0,0,0,0,1
hiero-ledger/solo,2026-02,0,1,0,0,0,0,0,0,1
hiero-ledger/solo,2026-03,0,2,0,3,0,0,0,0,5
hiero-ledger/solo,2026-04,0,0,1,1,0,0,0,0,2
hiero-ledger/solo,2026-05,0,0,0,4,0,0,0,0,4
hiero-ledger/hiero-block-node,2025-03,0,1,0,1,0,0,0,0,2
hiero-ledger/hiero-block-node,2025-08,0,4,0,3,0,0,0,0,7
hiero-ledger/hiero-block-node,2025-10,0,0,0,2,0,0,0,0,2
