repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,total
openwallet-foundation/project-proposals,2024-04,0,0,0,1,1
openwallet-foundation/project-proposals,2024-05,7,5,1,0,13
openwallet-foundation/tac,2024-05,0,0,1,0,1
