repo,month,PullRequestEvent,IssueCommentEvent,PushEvent,PullRequestReviewEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,MemberEvent,CommitCommentEvent,CreateEvent,ForkEvent,total
hyperledger/aries-mobile-test-harness,2022-01,2,1,1,0,1,0,0,0,0,0,0,5
hyperledger/aries-mobile-test-harness,2022-02,18,4,10,5,2,0,0,0,0,0,0,39
hyperledger/aries-mobile-test-harness,2022-03,12,3,6,0,1,0,0,0,0,0,0,22
hyperledger/aries-mobile-test-harness,2022-04,16,0,6,0,0,0,0,0,0,0,0,22
hyperledger/aries-mobile-test-harness,2022-05,10,1,5,0,2,0,0,0,0,0,0,18
hyperledger/aries-mobile-test-harness,2022-06,8,0,3,0,3,0,0,0,0,0,0,14
hyperledger/aries-mobile-test-harness,2022-07,14,1,8,0,7,0,0,0,0,0,0,30
hyperledger/aries-mobile-test-harness,2022-08,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-mobile-test-harness,2022-09,25,0,13,0,0,0,0,0,0,0,0,38
hyperledger/aries-mobile-test-harness,2022-10,21,1,11,1,0,0,0,0,0,0,0,34
hyperledger/aries-mobile-test-harness,2022-11,10,1,5,0,4,0,0,0,0,0,0,20
hyperledger/aries-mobile-test-harness,2022-12,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-mobile-test-harness,2023-01,29,0,11,0,5,0,0,0,0,0,0,45
hyperledger/aries-mobile-test-harness,2023-02,24,1,12,0,2,0,0,0,0,0,0,39
hyperledger/aries-mobile-test-harness,2023-03,5,0,2,0,1,0,0,0,0,0,0,8
hyperledger/aries-mobile-test-harness,2023-04,20,0,10,1,1,0,0,0,0,0,0,32
hyperledger/aries-mobile-test-harness,2023-05,17,3,8,1,0,0,0,0,0,0,0,29
hyperledger/aries-mobile-test-harness,2023-06,10,1,6,0,0,0,0,0,0,0,0,17
hyperledger/aries-mobile-test-harness,2023-07,13,0,10,2,2,0,0,4,0,0,0,31
hyperledger/aries-mobile-test-harness,2023-08,14,1,8,1,2,1,0,0,0,0,0,27
hyperledger/aries-mobile-test-harness,2023-09,11,2,7,2,0,0,0,0,0,0,0,22
hyperledger/aries-mobile-test-harness,2023-10,11,0,6,2,0,1,0,0,0,0,0,20
hyperledger/aries-mobile-test-harness,2023-11,26,1,13,0,0,0,0,0,0,0,0,40
hyperledger/aries-mobile-test-harness,2023-12,14,0,8,0,1,0,0,0,0,0,0,23
hyperledger/aries-mobile-test-harness,2024-01,4,0,2,0,0,0,0,0,0,0,0,6
hyperledger/aries-mobile-test-harness,2024-02,2,0,1,0,1,0,0,0,0,0,0,4
openwallet-foundation/mobile-wallet-test-harness,2024-02,2,0,1,0,0,0,0,1,0,0,0,4
openwallet-foundation/mobile-wallet-test-harness,2024-03,21,0,9,3,1,0,0,0,0,0,0,34
openwallet-foundation/mobile-wallet-test-harness,2024-04,0,0,0,0,3,0,0,0,0,0,0,3
openwallet-foundation/mobile-wallet-test-harness,2024-05,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/mobile-wallet-test-harness,2024-06,0,1,0,2,0,2,0,0,0,0,0,5
openwallet-foundation/mobile-wallet-test-harness,2024-07,2,0,1,0,0,0,0,0,0,0,0,3
