repo,month,PullRequestEvent,IssueCommentEvent,WatchEvent,ForkEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,total
hyperledger/aries-cloudagent-python,2021-09,2,1,0,0,1,1,0,5
hyperledger/aries-cloudagent-python,2022-02,1,1,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2022-03,0,1,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-07,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-08,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2022-12,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-01,2,2,0,0,0,0,0,4
hyperledger/aries-cloudagent-python,2023-02,3,0,0,0,0,0,0,3
hyperledger/aries-cloudagent-python,2023-03,1,1,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2023-06,1,1,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2023-07,0,2,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2023-08,1,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2023-11,1,1,0,0,0,0,0,2
hyperledger/aries-askar,2022-03,0,0,0,1,0,0,0,1
hyperledger/aries-askar,2022-07,0,0,1,0,0,0,0,1
hyperledger/aries-acapy-plugins,2023-12,0,0,0,0,0,0,1,1
hyperledger/indy-sdk,2021-09,0,0,1,0,0,0,0,1
hyperledger/ursa,2021-09,0,0,1,0,0,0,0,1
