repo,month,PullRequestEvent,DeleteEvent,PullRequestReviewEvent,CreateEvent,PushEvent,total
openwallet-foundation-labs/solid-data-wallet,2025-01,4,0,2,1,1,8
openwallet-foundation-labs/solid-data-wallet,2025-02,0,3,0,0,0,3
