repo,month,PullRequestEvent,IssueCommentEvent,total
openwallet-foundation-labs/learner-credential-wallet,2025-04,1,1,2
openwallet-foundation-labs/learner-credential-wallet,2025-05,2,0,2
openwallet-foundation-labs/learner-credential-wallet,2025-06,2,0,2
openwallet-foundation-labs/learner-credential-wallet,2025-07,2,0,2
openwallet-foundation-labs/learner-credential-wallet,2025-08,1,0,1
openwallet-foundation-labs/learner-credential-wallet,2025-11,0,1,1
