repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,DeleteEvent,CreateEvent,PullRequestReviewCommentEvent,IssueCommentEvent,IssuesEvent,ForkEvent,WatchEvent,ReleaseEvent,total
credebl/adeya-wallet,2024-02,5,6,0,8,6,0,0,0,0,0,0,25
credebl/adeya-wallet,2024-03,3,1,0,0,1,0,0,0,0,0,0,5
credebl/adeya-wallet,2024-04,26,15,5,10,7,0,0,1,0,0,1,65
credebl/adeya-wallet,2024-05,4,5,0,1,4,0,0,4,0,0,1,19
credebl/adeya-wallet,2024-06,3,5,0,3,6,0,1,0,0,0,0,18
credebl/adeya-wallet,2024-07,6,5,4,1,4,0,0,0,0,0,0,20
credebl/adeya-wallet,2024-08,6,1,0,0,0,0,0,0,0,0,0,7
credebl/adeya-wallet,2024-09,4,10,0,11,6,0,1,0,0,0,1,33
credebl/adeya-wallet,2024-10,11,10,4,5,4,1,3,3,0,0,2,43
credebl/adeya-wallet,2024-11,0,1,0,0,0,0,1,0,0,0,0,2
credebl/adeya-wallet,2024-12,0,0,0,0,1,0,0,0,0,0,0,1
credebl/adeya-wallet,2025-01,6,12,6,7,1,0,0,0,0,0,0,32
credebl/credo-controller,2024-04,17,8,9,4,2,9,0,0,0,0,0,49
credebl/credo-controller,2024-05,6,7,4,4,2,0,0,0,0,0,0,23
credebl/credo-controller,2024-06,4,4,8,3,0,20,0,0,0,0,0,39
credebl/credo-controller,2024-07,3,1,8,1,0,0,1,0,0,0,0,14
credebl/credo-controller,2024-08,3,5,5,3,1,0,0,0,0,0,0,17
credebl/credo-controller,2024-09,0,2,0,0,0,0,0,0,1,0,0,3
credebl/credo-controller,2024-12,0,0,1,0,0,0,0,0,0,0,0,1
credebl/credo-controller,2025-01,0,0,3,0,0,0,0,0,0,0,0,3
credebl/credo-controller,2025-02,0,0,4,0,0,3,0,0,0,0,0,7
credebl/credo-controller,2025-03,0,0,6,0,0,0,0,0,0,0,0,6
credebl/credo-controller,2025-04,0,1,5,2,0,4,3,0,0,0,0,15
credebl/credo-controller,2025-07,0,0,0,0,0,0,1,0,0,0,0,1
credebl/credo-controller,2025-08,0,0,3,0,0,1,0,0,0,0,0,4
credebl/afj-controller,2024-01,12,2,1,12,2,0,0,0,0,0,0,29
credebl/afj-controller,2024-02,5,12,6,11,2,0,0,0,1,0,0,37
credebl/afj-controller,2024-03,10,9,8,10,3,2,0,0,0,0,0,42
openwallet-foundation/credo-ts,2024-01,0,1,6,0,0,6,0,0,0,0,0,13
openwallet-foundation/credo-ts,2024-02,0,1,1,0,0,1,2,0,0,0,0,5
openwallet-foundation/credo-ts,2024-04,0,1,5,0,0,5,0,0,0,0,0,11
openwallet-foundation/credo-ts,2024-05,0,1,0,0,0,0,7,3,0,0,0,11
openwallet-foundation/credo-ts,2024-08,0,0,0,0,0,0,5,1,0,0,0,6
openwallet-foundation/credo-ts,2024-09,0,1,4,0,0,3,0,0,0,0,0,8
openwallet-foundation/credo-ts,2024-10,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2024-11,0,1,0,0,0,0,0,1,0,0,0,2
openwallet-foundation/credo-ts,2024-12,0,0,1,0,0,2,2,0,0,0,0,5
openwallet-foundation/credo-ts,2025-01,0,2,1,0,0,0,7,1,0,0,0,11
openwallet-foundation/credo-ts,2025-02,0,2,4,0,0,4,6,0,0,0,0,16
openwallet-foundation/credo-ts,2025-03,0,1,3,0,0,4,1,0,0,0,0,9
openwallet-foundation/credo-ts,2025-05,0,1,0,0,0,0,0,0,0,0,0,1
credebl/mobile-sdk,2025-03,15,8,2,5,6,0,1,1,0,0,0,38
credebl/mobile-sdk,2025-04,1,1,0,0,1,0,0,0,0,0,0,3
credebl/mobile-sdk,2025-05,1,1,0,0,0,0,0,1,0,0,0,3
credebl/mobile-sdk,2025-08,2,0,0,0,0,0,0,0,0,0,0,2
credebl/mobile-sdk,2025-09,2,0,0,0,0,0,0,0,0,0,0,2
credebl/mobile-sdk,2025-10,4,0,0,0,1,0,0,0,0,0,0,5
credebl/mobile-sdk,2025-12,0,0,2,0,0,0,0,0,0,0,0,2
credebl/mobile-sdk,2026-01,2,0,0,0,2,0,0,0,0,0,0,4
credebl/mobile-sdk,2026-02,12,0,1,0,0,1,1,0,0,0,0,15
credebl/mobile-sdk,2026-04,0,1,0,0,0,0,0,0,0,0,0,1
credebl/mobile-sdk,2026-05,7,1,1,3,3,0,0,0,0,0,0,15
credebl/adeya-sdk,2024-01,2,3,4,4,1,0,0,0,0,0,0,14
credebl/adeya-sdk,2024-02,1,1,0,0,1,0,0,0,0,0,0,3
credebl/adeya-sdk,2024-03,5,3,1,2,2,0,0,0,0,0,0,13
credebl/adeya-sdk,2024-04,4,1,0,0,0,0,0,0,0,0,0,5
