repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,PushEvent,IssueCommentEvent,DeleteEvent,ForkEvent,CreateEvent,total
hyperledger/besu-docs,2019-09,0,4,12,0,4,0,0,1,0,21
hyperledger/besu-docs,2019-10,0,10,12,0,6,0,0,0,0,28
hyperledger/besu-docs,2019-11,0,21,12,0,6,1,0,0,0,40
hyperledger/besu-docs,2019-12,0,18,5,0,3,0,0,0,0,26
hyperledger/besu-docs,2020-01,0,1,2,0,0,0,0,0,0,3
hyperledger/besu-docs,2020-02,0,36,10,3,6,0,0,0,0,55
hyperledger/besu-docs,2020-03,0,2,2,0,1,0,0,0,0,5
hyperledger/besu-docs,2020-04,0,4,1,1,1,0,0,0,0,7
hyperledger/besu-docs,2020-05,0,1,2,4,1,0,0,0,0,8
hyperledger/besu-docs,2020-06,0,9,8,2,3,0,0,0,0,22
hyperledger/besu-docs,2020-07,0,7,19,3,11,4,0,0,0,44
hyperledger/besu-docs,2020-08,0,0,3,0,2,0,0,0,0,5
hyperledger/besu-docs,2020-09,12,4,4,2,3,0,0,0,0,25
hyperledger/besu-docs,2020-10,3,0,1,0,1,1,0,0,0,6
hyperledger/besu-docs,2020-11,8,1,3,0,3,7,0,0,0,22
hyperledger/besu-docs,2020-12,7,3,0,0,0,1,0,0,0,11
hyperledger/besu-docs,2021-01,2,0,2,0,1,0,0,0,0,5
hyperledger/besu-docs,2021-02,10,9,10,2,5,4,0,0,0,40
hyperledger/besu-docs,2021-03,35,23,6,2,3,0,0,0,0,69
hyperledger/besu-docs,2021-04,20,10,5,7,2,3,0,0,0,47
hyperledger/besu-docs,2021-05,9,2,8,16,4,5,0,0,0,44
hyperledger/besu-docs,2021-06,25,14,5,6,5,1,0,0,0,56
hyperledger/besu-docs,2021-07,5,2,2,8,4,0,0,0,0,21
hyperledger/besu-docs,2021-08,15,9,2,2,1,0,0,0,0,29
hyperledger/besu-docs,2021-09,21,9,4,8,3,1,0,0,0,46
hyperledger/besu-docs,2021-10,0,0,0,4,2,0,0,0,0,6
hyperledger/besu-docs,2021-11,8,6,8,10,3,3,1,1,1,41
hyperledger/besu-docs,2021-12,6,4,3,5,2,0,0,0,0,20
hyperledger/besu-docs,2022-01,6,3,1,0,1,0,0,0,0,11
hyperledger/besu-docs,2022-02,2,0,1,1,1,0,0,0,0,5
hyperledger/besu-docs,2022-03,14,16,1,12,1,1,0,0,0,45
hyperledger/besu-docs,2022-04,1,1,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2022-05,2,1,1,1,1,0,0,0,0,6
hyperledger/besu-docs,2022-06,10,12,0,1,0,0,0,0,0,23
hyperledger/besu-docs,2022-07,3,5,0,0,0,1,0,0,0,9
hyperledger/besu-docs,2022-08,4,1,4,2,2,0,0,0,0,13
hyperledger/besu-docs,2022-09,4,6,0,0,0,0,0,0,0,10
hyperledger/besu-docs,2022-10,3,1,0,1,0,0,0,0,0,5
hyperledger/besu-docs,2022-11,0,0,3,1,0,0,0,0,0,4
hyperledger/besu-docs,2022-12,1,0,0,0,0,1,0,0,0,2
hyperledger/besu-docs,2023-01,3,0,3,3,2,0,0,0,0,11
hyperledger/besu-docs,2023-02,4,1,4,6,2,1,0,0,0,18
hyperledger/besu-docs,2023-03,2,0,2,0,0,0,0,0,0,4
hyperledger/besu-docs,2023-04,4,1,2,3,2,0,0,0,0,12
hyperledger/besu-docs,2023-05,3,1,0,2,0,0,0,0,0,6
hyperledger/besu-docs,2023-06,1,0,4,2,2,1,0,0,1,11
hyperledger/besu-docs,2023-07,3,0,0,0,0,0,0,0,0,3
hyperledger/besu-docs,2023-08,4,1,2,4,1,0,0,0,0,12
hyperledger/besu-docs,2023-09,3,0,2,1,1,0,0,0,0,7
hyperledger/besu-docs,2023-10,4,3,0,0,0,0,0,0,0,7
hyperledger/besu-docs,2023-11,2,0,0,1,0,0,0,0,0,3
hyperledger/besu-docs,2024-01,6,2,6,3,5,0,0,0,0,22
hyperledger/besu-docs,2024-02,13,8,1,1,1,3,0,0,0,27
hyperledger/besu-docs,2024-03,3,0,2,2,1,1,0,0,0,9
hyperledger/besu-docs,2024-04,1,0,0,4,0,0,0,0,0,5
hyperledger/besu-docs,2024-05,11,6,1,0,1,0,0,0,0,19
hyperledger/besu-docs,2024-06,6,2,2,2,1,0,0,0,0,13
hyperledger/besu-docs,2024-07,7,11,2,0,0,1,0,0,0,21
hyperledger/besu-docs,2024-08,3,0,2,0,1,0,0,0,0,6
hyperledger/besu-docs,2024-09,2,0,0,0,0,0,0,0,0,2
hyperledger/besu-docs,2024-10,2,1,4,1,2,0,0,0,0,10
hyperledger/besu-docs,2024-11,7,2,7,4,4,1,0,0,0,25
hyperledger/besu-docs,2024-12,4,1,0,1,0,0,0,0,0,6
hyperledger/besu-docs,2025-01,2,0,7,4,4,0,0,0,0,17
hyperledger/besu-docs,2025-02,7,5,3,3,0,0,0,0,0,18
