repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,ForkEvent,WatchEvent,IssueCommentEvent,PullRequestEvent,total
openwallet-foundation/project-proposals,2024-09,3,3,1,0,1,0,8
openwallet-foundation-labs/solid-data-wallet,2025-01,0,0,0,0,0,1,1
openwallet-foundation-labs/solid-data-wallet,2025-02,2,0,0,1,0,0,3
openwallet-foundation-labs/governance,2024-12,0,0,1,0,0,0,1
openwallet-foundation-labs/tuvali,2024-09,0,0,0,1,0,0,1
