repo,month,IssueCommentEvent,PullRequestEvent,ForkEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssuesEvent,total
openwallet-foundation/acapy,2025-08,6,0,0,0,1,0,0,7
openwallet-foundation/acapy,2025-09,3,0,0,0,0,0,0,3
openwallet-foundation/acapy,2025-10,5,1,0,0,0,1,0,7
openwallet-foundation/acapy,2025-11,7,2,0,0,0,0,0,9
openwallet-foundation/acapy,2026-01,0,1,0,0,0,0,0,1
openwallet-foundation-labs/apostille,2026-03,0,1,1,3,0,0,0,5
openwallet-foundation-labs/apostille,2026-05,0,0,0,1,0,0,0,1
hyperledger/aries-askar,2024-05,0,0,1,0,0,0,0,1
hyperledger/aries-askar,2024-06,1,1,0,0,0,0,0,2
openwallet-foundation/bifold-wallet,2024-10,0,0,1,0,0,0,0,1
openwallet-foundation/bifold-wallet,2025-07,0,0,0,0,0,0,1,1
openwallet-foundation/bifold-wallet,2025-12,0,0,1,0,0,0,0,1
openwallet-foundation-labs/governance,2026-03,0,1,1,0,0,0,0,2
openwallet-foundation/credo-ts,2025-07,0,0,0,0,1,1,0,2
openwallet-foundation/project-proposals,2026-01,0,1,0,0,0,0,0,1
