repo,month,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,ForkEvent,GollumEvent,WatchEvent,total
hyperledger/besu,2019-09,0,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger/besu,2019-10,0,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/besu,2019-11,0,5,3,0,1,0,0,0,0,0,0,0,9
hyperledger/besu,2019-12,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/besu,2020-01,0,4,11,0,2,0,0,0,0,0,0,0,17
hyperledger/besu,2020-02,0,6,16,0,3,0,0,0,0,0,0,0,25
hyperledger/besu,2020-04,0,9,6,1,6,1,0,0,0,0,0,0,23
hyperledger/besu,2020-05,0,8,10,1,2,0,0,0,0,0,0,0,21
hyperledger/besu,2020-06,0,36,11,7,14,11,0,0,0,0,0,0,79
hyperledger/besu,2020-07,0,15,4,10,7,2,0,0,0,0,0,0,38
hyperledger/besu,2020-08,16,18,36,3,8,2,0,0,0,0,0,0,83
hyperledger/besu,2020-09,6,4,0,1,2,2,0,0,0,0,0,0,15
hyperledger/besu,2020-10,17,15,9,7,7,9,0,0,0,0,0,0,64
hyperledger/besu,2020-11,28,26,25,10,9,4,1,0,0,0,0,0,103
hyperledger/besu,2020-12,27,12,28,4,7,10,0,0,0,0,0,0,88
hyperledger/besu,2021-01,9,6,5,4,2,0,0,0,0,0,0,0,26
hyperledger/besu,2021-02,30,22,18,2,9,4,0,0,0,0,0,0,85
hyperledger/besu,2021-03,18,15,10,27,6,6,0,0,0,0,0,0,82
hyperledger/besu,2021-04,23,9,16,14,5,9,0,0,0,0,0,0,76
hyperledger/besu,2021-05,32,56,28,26,25,12,1,1,0,0,0,0,181
hyperledger/besu,2021-06,16,8,28,12,5,2,0,0,0,0,0,0,71
hyperledger/besu,2021-07,9,4,2,9,2,4,0,0,0,0,0,0,30
hyperledger/besu,2021-08,13,16,3,5,10,7,0,0,0,0,0,0,54
hyperledger/besu,2021-09,37,14,28,18,8,11,0,0,0,0,0,0,116
