repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,IssuesEvent,ForkEvent,total
open-quantum-safe/liboqs,2025-05,0,0,0,2,0,1,3
open-quantum-safe/liboqs,2025-07,8,6,0,1,4,0,19
open-quantum-safe/liboqs,2025-08,6,6,3,1,0,0,16
open-quantum-safe/liboqs,2025-09,2,1,3,0,0,0,6
pq-code-package/slhdsa-c,2025-06,0,0,3,1,0,1,5
pq-code-package/slhdsa-c,2025-07,0,0,2,1,0,0,3
pq-code-package/slhdsa-c,2025-08,0,0,1,1,0,0,2
open-quantum-safe/ci-containers,2025-07,0,0,0,1,0,1,2
