repo,month,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,ForkEvent,IssueCommentEvent,PushEvent,GollumEvent,WatchEvent,CreateEvent,total
hiero-ledger/tsc,2024-10,0,0,0,1,0,0,0,0,0,1
hiero-ledger/tsc,2024-11,7,1,1,1,0,0,0,0,0,10
hiero-ledger/tsc,2024-12,2,0,0,0,0,0,0,0,0,2
hiero-ledger/tsc,2025-01,4,3,3,0,0,0,0,0,0,10
hiero-ledger/tsc,2025-02,5,1,1,0,0,0,0,0,0,7
hiero-ledger/tsc,2025-03,4,0,0,0,1,0,0,0,0,5
hiero-ledger/tsc,2025-04,6,2,2,0,1,0,0,0,0,11
hiero-ledger/tsc,2025-05,5,0,0,0,1,0,0,0,0,6
hiero-ledger/tsc,2025-06,4,0,0,0,0,0,0,0,0,4
hiero-ledger/tsc,2025-07,3,1,1,0,0,0,0,0,0,5
hiero-ledger/tsc,2025-08,3,0,0,0,0,1,0,0,0,4
hiero-ledger/tsc,2025-09,1,0,0,0,0,2,0,0,0,3
hiero-ledger/tsc,2025-10,3,0,0,0,0,1,0,0,0,4
hiero-ledger/tsc,2025-11,1,0,0,0,0,0,0,0,0,1
hiero-ledger/tsc,2025-12,1,0,0,0,0,0,0,0,0,1
hiero-ledger/tsc,2026-01,1,0,0,0,0,0,0,0,0,1
LFDT-Hiero/website,2024-10,3,0,0,1,0,0,0,1,0,5
hiero-ledger/governance,2025-04,2,0,0,1,0,0,0,0,0,3
hiero-ledger/governance,2026-02,0,0,0,0,0,0,2,0,0,2
hiero-ledger/hiero-consensus-specifications,2025-12,0,0,0,0,0,0,0,1,0,1
hiero-ledger/hiero-consensus-specifications,2026-01,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2025-09,1,0,0,0,0,0,0,0,1,2
hiero-ledger/hiero-website,2025-07,0,0,0,1,1,0,0,0,0,2
hiero-ledger/hiero-mirror-node-explorer,2025-04,0,0,0,0,1,0,0,0,0,1
