repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssuesEvent,IssueCommentEvent,total
openwallet-foundation-labs/identity-credential,2024-01,4,1,0,3,1,3,0,0,12
openwallet-foundation-labs/identity-credential,2024-02,31,13,12,15,6,8,9,2,96
openwallet-foundation-labs/identity-credential,2024-03,34,25,14,21,9,14,6,1,124
openwallet-foundation-labs/identity-credential,2024-04,8,5,2,3,6,5,2,0,31
openwallet-foundation-labs/identity-credential,2024-05,27,7,3,11,7,7,9,2,73
openwallet-foundation-labs/identity-credential,2024-06,27,20,6,22,11,8,3,1,98
openwallet-foundation-labs/identity-credential,2024-07,9,5,0,7,5,4,0,0,30
openwallet-foundation-labs/identity-credential,2024-08,22,18,5,12,3,7,0,1,68
openwallet-foundation-labs/identity-credential,2024-09,14,16,11,6,7,6,0,0,60
openwallet-foundation-labs/identity-credential,2024-10,23,22,26,11,8,7,0,0,97
openwallet-foundation-labs/identity-credential,2024-11,29,21,17,18,7,9,0,1,102
openwallet-foundation-labs/identity-credential,2024-12,22,14,11,8,3,4,0,1,63
openwallet-foundation-labs/identity-credential,2025-01,33,52,51,12,8,4,0,0,160
openwallet-foundation-labs/identity-credential,2025-02,30,37,31,13,9,8,1,2,131
openwallet-foundation-labs/identity-credential,2025-03,22,14,9,15,5,10,0,0,75
openwallet-foundation-labs/identity-credential,2025-04,17,28,25,8,2,4,0,0,84
openwallet-foundation-labs/identity-credential,2025-05,23,17,10,12,5,5,0,0,72
openwallet-foundation-labs/identity-credential,2025-06,21,6,3,6,3,4,0,0,43
openwallet-foundation-labs/identity-credential,2025-07,8,6,2,9,4,4,0,0,33
openwallet-foundation-labs/identity-credential,2025-08,15,17,13,6,2,2,0,1,56
openwallet-foundation/multipaz,2025-09,9,8,3,10,6,4,1,0,41
openwallet-foundation/multipaz,2025-10,16,6,4,2,5,4,2,0,39
openwallet-foundation/multipaz,2025-11,16,4,3,2,4,2,5,1,37
openwallet-foundation/multipaz,2025-12,17,10,6,5,3,2,3,0,46
openwallet-foundation/multipaz,2026-01,11,3,2,3,4,6,1,1,31
openwallet-foundation/multipaz,2026-02,6,3,4,1,1,0,0,1,16
openwallet-foundation/multipaz,2026-03,20,6,5,0,12,3,1,0,47
openwallet-foundation/multipaz,2026-04,17,0,0,2,6,4,0,1,30
openwallet-foundation/multipaz,2026-05,8,2,0,0,4,0,0,0,14
openwallet-foundation/multipaz-samples,2025-09,0,0,0,0,0,1,0,0,1
openwallet-foundation/multipaz-samples,2025-12,5,0,0,2,0,0,0,0,7
openwallet-foundation/multipaz-samples,2026-02,0,1,0,0,0,0,0,0,1
openwallet-foundation/multipaz-wallet,2026-04,0,0,0,0,2,0,0,0,2
openwallet-foundation/multipaz-wallet,2026-05,2,0,0,0,4,0,0,0,6
openwallet-foundation/multipaz-extras,2026-04,1,1,0,0,0,0,0,0,2
openwallet-foundation/multipaz-identity-reader,2025-11,1,1,0,0,0,0,0,0,2
