repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,CreateEvent,PullRequestEvent,IssuesEvent,PushEvent,ReleaseEvent,IssueCommentEvent,WatchEvent,total
openwallet-foundation-labs/sd-jwt-python,2024-01,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-python,2024-02,2,2,3,3,1,2,2,1,0,16
openwallet-foundation-labs/sd-jwt-python,2024-03,6,6,0,0,0,0,0,0,0,12
openwallet-foundation-labs/oid4vc-ts,2025-01,0,0,0,0,0,0,0,0,1,1
