repo,month,PushEvent,PullRequestEvent,CreateEvent,PullRequestReviewEvent,DeleteEvent,IssueCommentEvent,total
openwallet-foundation-labs/solid-data-wallet,2025-04,6,4,2,3,2,1,18
openwallet-foundation-labs/solid-data-wallet,2025-06,2,2,1,0,0,0,5
