repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,CreateEvent,DeleteEvent,IssuesEvent,IssueCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-10,0,5,3,4,0,0,0,0,12
hiero-ledger/hiero-consensus-node,2025-11,0,11,6,12,0,0,0,1,30
hiero-ledger/hiero-consensus-node,2025-12,0,9,3,5,0,0,1,0,18
hiero-ledger/hiero-consensus-node,2026-01,32,11,12,8,2,2,1,0,68
hiero-ledger/hiero-consensus-node,2026-02,30,9,6,5,6,4,2,0,62
hiero-ledger/hiero-consensus-node,2026-03,44,1,1,0,0,1,2,0,49
hiero-ledger/hiero-consensus-node,2026-04,17,0,3,0,5,2,1,0,28
hiero-ledger/hiero-consensus-node,2026-05,17,0,0,0,5,2,0,0,24
