repo,month,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,PushEvent,DeleteEvent,IssuesEvent,PullRequestReviewCommentEvent,CreateEvent,total
Hyperledger-TWGC/tape,2024-01,12,4,2,2,1,0,0,0,21
Hyperledger-TWGC/tape,2024-02,4,1,0,1,1,0,0,0,7
Hyperledger-TWGC/tape,2024-03,18,8,2,3,2,0,0,0,33
Hyperledger-TWGC/tape,2024-04,6,0,1,5,1,0,0,1,14
Hyperledger-TWGC/tape,2024-05,10,2,1,4,1,0,0,0,18
Hyperledger-TWGC/tape,2024-06,3,0,1,1,1,0,0,0,6
Hyperledger-TWGC/tape,2024-07,1,0,0,0,0,0,0,0,1
Hyperledger-TWGC/tape,2024-09,12,2,4,2,0,0,0,0,20
Hyperledger-TWGC/tape,2024-10,11,2,0,0,0,0,0,0,13
Hyperledger-TWGC/tape,2024-11,10,4,2,1,0,0,0,0,17
Hyperledger-TWGC/tape,2024-12,3,2,0,1,0,0,0,0,6
Hyperledger-TWGC/tape,2025-01,2,0,0,0,0,0,0,0,2
Hyperledger-TWGC/tape,2025-06,0,1,1,0,0,0,0,0,2
Hyperledger-TWGC/tape,2025-07,0,1,1,0,0,0,0,1,3
Hyperledger-TWGC/tape,2025-08,1,4,0,1,0,2,0,0,8
Hyperledger-TWGC/tape,2025-09,0,4,2,1,0,0,0,0,7
Hyperledger-TWGC/tape,2025-10,1,0,1,0,0,0,0,0,2
Hyperledger-TWGC/tape,2025-11,1,3,0,0,0,0,0,0,4
Hyperledger-TWGC/tape,2026-02,1,0,0,0,0,0,0,0,1
Hyperledger-TWGC/tape,2026-03,1,0,0,0,0,0,0,0,1
Hyperledger-TWGC/tape,2026-04,0,2,1,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2024-01,4,5,4,4,0,1,1,1,20
hyperledger/fabric-admin-sdk,2024-02,1,0,1,1,0,0,0,0,3
hyperledger/fabric-admin-sdk,2024-03,6,1,4,3,0,1,0,0,15
hyperledger/fabric-admin-sdk,2024-04,5,3,3,2,0,0,0,0,13
hyperledger/fabric-admin-sdk,2024-05,1,0,0,0,0,0,0,0,1
hyperledger/fabric-admin-sdk,2024-06,0,2,0,0,0,0,0,0,2
hyperledger/fabric-admin-sdk,2024-09,4,1,2,1,0,0,2,0,10
hyperledger/fabric-admin-sdk,2024-10,2,0,1,1,0,0,0,0,4
hyperledger/fabric-admin-sdk,2024-11,1,0,0,0,0,0,0,0,1
hyperledger/fabric-admin-sdk,2025-03,3,0,3,2,0,0,0,0,8
hyperledger/fabric-admin-sdk,2025-05,1,1,1,0,0,0,0,0,3
hyperledger/fabric-admin-sdk,2025-08,1,0,1,0,0,0,0,0,2
hyperledger/fabric-admin-sdk,2025-09,2,0,0,0,0,0,0,0,2
hyperledger/fabric-admin-sdk,2025-11,0,1,0,0,0,0,0,0,1
hyperledger/fabric-admin-sdk,2026-02,1,0,0,0,0,0,0,0,1
hyperledger/fabric-admin-sdk,2026-03,1,0,0,0,0,0,1,0,2
hyperledger/fabric-admin-sdk,2026-05,1,0,0,0,0,0,0,0,1
Hyperledger-TWGC/java-gm,2024-01,2,0,2,2,0,0,0,0,6
Hyperledger-TWGC/java-gm,2024-02,3,0,2,3,0,0,0,0,8
Hyperledger-TWGC/java-gm,2024-04,2,0,2,1,0,0,0,0,5
Hyperledger-TWGC/java-gm,2024-06,4,0,3,3,0,0,0,0,10
hyperledger/fabric,2024-03,0,2,1,0,0,0,0,0,3
hyperledger/fabric,2024-04,0,2,0,0,0,0,0,0,2
hyperledger/fabric,2024-05,0,1,0,0,0,0,0,0,1
hyperledger/fabric,2024-09,0,3,0,0,0,0,0,0,3
hyperledger/fabric,2025-06,0,1,1,0,0,0,0,0,2
hyperledger/fabric-samples,2024-03,0,4,1,0,0,0,0,0,5
hyperledger/fabric-samples,2024-04,1,2,0,0,0,0,0,0,3
hyperledger/fabric-samples,2024-09,1,0,1,0,0,0,1,0,3
Hyperledger-TWGC/GM-interoperability,2024-12,1,0,1,1,0,0,0,0,3
open-quantum-safe/liboqs-go,2024-04,0,0,2,0,0,1,0,0,3
Hyperledger-TWGC/tjfoc-gm,2024-06,0,1,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-go,2024-03,0,0,0,0,0,1,0,0,1
