repo,month,IssuesEvent,IssueCommentEvent,total
openwallet-foundation/multipaz,2025-11,2,0,2
openwallet-foundation/multipaz,2025-12,3,0,3
openwallet-foundation/multipaz,2026-01,6,0,6
openwallet-foundation/multipaz,2026-02,1,0,1
openwallet-foundation/multipaz,2026-03,2,1,3
openwallet-foundation/multipaz,2026-04,2,0,2
openwallet-foundation/multipaz-identity-reader,2025-12,1,0,1
