repo,month,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewEvent,PushEvent,IssuesEvent,WatchEvent,ForkEvent,total
hyperledger-labs/aifaq,2024-01,0,0,0,0,0,0,1,0,1
hyperledger-labs/aifaq,2024-06,0,0,0,0,0,0,0,1,1
hyperledger-labs/aifaq,2024-07,24,7,10,14,3,4,0,0,62
hyperledger-labs/aifaq,2024-08,22,7,7,8,10,4,0,0,58
hyperledger-labs/aifaq,2024-09,0,0,1,0,0,0,0,0,1
hyperledger-labs/aifaq,2024-10,0,2,0,0,2,0,0,0,4
hyperledger-labs/aifaq,2024-11,0,0,0,0,3,0,0,0,3
hyperledger-labs/aifaq,2025-01,0,1,0,0,1,1,0,0,3
hyperledger/aries-vcx,2023-03,0,0,0,0,0,0,1,1,2
hyperledger/aries-vcx,2023-04,0,2,3,0,0,0,0,0,5
hyperledger/aries-vcx,2023-05,0,2,4,0,0,0,0,0,6
hyperledger/aries-vcx,2023-07,1,1,2,1,0,0,0,0,5
hyperledger/aries-vcx,2023-08,0,1,1,0,0,0,0,0,2
hyperledger/aries-vcx,2023-09,3,5,0,2,0,0,0,0,10
hyperledger/aries-vcx,2023-10,1,2,0,1,0,0,0,0,4
hyperledger/aries-vcx,2023-11,3,3,1,3,0,0,0,0,10
hyperledger-labs/governance,2024-07,0,1,1,0,0,1,0,1,4
hyperledger/aries-rfcs,2023-06,0,0,0,0,0,0,1,0,1
hyperledger/cello,2023-03,0,0,0,0,0,0,1,0,1
