repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,ForkEvent,WatchEvent,total
hyperledger/aries-cloudagent-python,2019-07,32,16,0,12,3,3,2,3,0,0,1,72
hyperledger/aries-cloudagent-python,2019-08,20,9,0,18,2,12,2,0,2,0,0,65
hyperledger/aries-cloudagent-python,2019-09,19,9,0,6,5,8,2,0,2,0,0,51
hyperledger/aries-cloudagent-python,2019-10,27,17,0,3,0,0,1,0,1,0,0,49
hyperledger/aries-cloudagent-python,2019-11,40,17,0,18,1,7,1,0,1,0,0,85
hyperledger/aries-cloudagent-python,2019-12,25,14,0,5,2,3,1,0,1,0,0,51
hyperledger/aries-cloudagent-python,2020-01,25,21,0,1,2,0,1,0,1,0,0,51
hyperledger/aries-cloudagent-python,2020-02,15,9,0,5,1,1,3,0,3,0,0,37
hyperledger/aries-cloudagent-python,2020-03,25,17,0,1,3,0,1,0,1,0,0,48
hyperledger/aries-cloudagent-python,2020-04,26,20,0,8,12,2,2,1,2,0,0,73
hyperledger/aries-cloudagent-python,2020-05,20,18,0,7,2,0,0,0,0,0,0,47
hyperledger/aries-cloudagent-python,2020-06,26,21,0,4,4,10,1,0,1,0,0,67
hyperledger/aries-cloudagent-python,2020-07,20,18,0,0,6,0,1,0,1,0,0,46
hyperledger/aries-cloudagent-python,2020-08,18,17,0,1,3,0,1,0,1,0,0,41
hyperledger/aries-cloudagent-python,2020-09,10,10,10,0,0,0,0,0,0,0,0,30
hyperledger/aries-cloudagent-python,2020-10,24,20,18,4,2,2,2,0,2,0,0,74
hyperledger/aries-cloudagent-python,2020-11,11,8,8,4,1,0,0,0,0,0,0,32
hyperledger/aries-cloudagent-python,2020-12,51,54,42,18,4,6,3,2,0,0,0,180
hyperledger/aries-cloudagent-python,2021-01,27,24,27,11,9,1,0,0,0,0,0,99
hyperledger/aries-cloudagent-python,2021-02,50,40,36,8,0,3,3,3,3,0,0,146
hyperledger/aries-cloudagent-python,2021-03,15,14,13,6,2,1,0,0,0,0,0,51
