repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,ForkEvent,PullRequestEvent,IssueCommentEvent,total
hyperledger/iroha,2024-03,0,0,2,0,0,2
hyperledger/iroha,2024-07,6,6,4,2,2,20
hyperledger/iroha,2024-08,1,0,0,0,0,1
hyperledger/iroha,2024-09,1,0,0,0,0,1
hyperledger-iroha/iroha,2025-01,3,2,0,0,0,5
hyperledger-iroha/iroha,2025-02,1,0,0,0,0,1
hyperledger-iroha/iroha,2025-03,1,0,0,0,0,1
hyperledger/iroha-java,2024-05,0,0,1,5,1,7
