repo,month,PullRequestEvent,ForkEvent,PullRequestReviewEvent,IssueCommentEvent,IssuesEvent,total
hyperledger-labs/fabric-operator,2024-03,1,1,0,0,1,3
hyperledger-labs/fabric-operator,2024-05,0,0,1,0,0,1
hyperledger/fabric-chaincode-node,2024-04,0,1,0,0,0,1
hyperledger/fabric-chaincode-node,2024-05,1,0,0,1,0,2
hyperledger/fabric-chaincode-node,2024-06,0,0,1,0,0,1
hyperledger-labs/fabric-ansible-collection,2024-05,2,1,0,0,0,3
