repo,month,PullRequestEvent,IssueCommentEvent,total
hyperledger/fabric-docs-i18n,2025-04,6,6,12
hyperledger/fabric-docs-i18n,2025-05,4,1,5
hyperledger/fabric-docs-i18n,2025-06,1,0,1
