repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,CreateEvent,IssuesEvent,DeleteEvent,IssueCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-02,26,3,9,1,5,7,3,2,56
hiero-ledger/hiero-consensus-node,2025-03,42,6,4,7,3,5,2,0,69
hiero-ledger/hiero-consensus-node,2025-04,43,2,14,0,8,7,4,0,78
hiero-ledger/hiero-consensus-node,2025-05,63,15,17,13,11,6,7,2,134
hiero-ledger/hiero-consensus-node,2025-06,37,10,5,6,2,7,2,1,70
hiero-ledger/hiero-consensus-node,2025-07,33,7,6,2,4,4,4,0,60
hiero-ledger/hiero-consensus-node,2025-08,16,9,6,6,3,4,0,0,44
hiero-ledger/hiero-consensus-node,2025-09,16,6,4,6,3,0,0,0,35
hiero-ledger/hiero-consensus-node,2025-10,24,10,1,5,2,1,1,0,44
hiero-ledger/hiero-consensus-node,2025-11,19,4,3,0,0,1,0,0,27
hiero-ledger/hiero-consensus-node,2025-12,11,1,3,0,1,1,1,0,18
hiero-ledger/hiero-consensus-node,2026-01,16,0,1,3,0,0,0,0,20
hiero-ledger/hiero-consensus-node,2026-02,25,3,0,0,1,0,0,1,30
hiero-ledger/hiero-consensus-node,2026-03,18,1,1,0,1,1,0,0,22
hiero-ledger/hiero-consensus-node,2026-04,2,0,2,0,1,0,1,0,6
hiero-ledger/hiero-consensus-node,2026-05,2,0,0,0,0,0,0,0,2
