repo,month,PushEvent,PullRequestEvent,CreateEvent,DeleteEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,ForkEvent,ReleaseEvent,WatchEvent,total
hiero-ledger/hiero-did-sdk-python,2025-02,22,21,12,13,3,2,0,0,1,3,1,78
hiero-ledger/hiero-did-sdk-python,2025-03,24,0,0,0,0,0,0,0,0,0,0,24
hiero-ledger/hiero-did-sdk-python,2025-05,8,4,2,0,3,0,0,0,0,0,0,17
hiero-ledger/hiero-did-sdk-python,2025-06,4,2,1,1,2,0,0,0,0,0,0,10
hiero-ledger/hiero-did-sdk-python,2025-07,3,2,0,1,1,0,0,0,0,0,0,7
hiero-ledger/hiero-did-sdk-python,2025-08,0,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-did-sdk-python,2025-10,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-did-sdk-python,2025-11,3,1,0,1,0,0,0,0,0,1,0,6
hiero-ledger/hiero-did-sdk-python,2025-12,2,1,0,0,1,0,0,0,0,0,0,4
hiero-ledger/hiero-did-sdk-python,2026-01,3,0,0,3,1,0,0,0,0,0,0,7
hiero-ledger/hiero-did-sdk-python,2026-02,0,1,0,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-did-sdk-python,2026-03,1,0,0,2,0,0,0,0,0,0,0,3
hiero-ledger/hiero-did-sdk-js,2025-08,20,14,7,6,12,0,8,1,0,1,0,69
hiero-ledger/hiero-did-sdk-js,2025-09,7,5,4,2,0,0,0,0,0,2,0,20
hiero-ledger/hiero-did-sdk-js,2025-10,11,3,2,2,1,2,0,2,0,0,0,23
hiero-ledger/hiero-did-sdk-js,2025-11,2,0,1,0,0,0,0,1,0,0,0,4
hiero-ledger/hiero-did-sdk-js,2025-12,12,1,1,0,1,1,0,1,0,0,0,17
hiero-ledger/hiero-did-sdk-js,2026-01,3,0,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-did-sdk-js,2026-02,4,0,0,2,1,0,6,0,0,0,0,13
hiero-ledger/hiero-did-sdk-js,2026-03,5,0,2,0,0,0,0,0,0,0,0,7
hiero-ledger/hiero-did-sdk-js,2026-05,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/eudi-wallet-kit-react-native,2024-04,30,10,6,5,0,0,0,0,0,0,0,51
openwallet-foundation-labs/eudi-wallet-kit-react-native,2024-05,34,12,5,8,2,0,0,0,0,0,0,61
openwallet-foundation-labs/eudi-wallet-kit-react-native,2024-06,13,8,3,4,0,0,0,0,0,0,0,28
openwallet-foundation-labs/eudi-wallet-kit-react-native,2024-09,2,2,1,0,0,0,0,0,0,0,0,5
openwallet-foundation-labs/eudi-wallet-kit-react-native,2025-10,1,0,0,0,0,0,0,1,0,0,0,2
hiero-ledger/heka-identity-platform,2026-02,2,0,0,2,0,0,0,0,0,0,0,4
hiero-ledger/heka-identity-platform,2026-03,10,4,4,2,1,0,5,2,0,0,0,28
hiero-ledger/heka-identity-platform,2026-04,13,0,0,0,2,2,1,1,0,0,0,19
hiero-ledger/heka-identity-platform,2026-05,10,2,0,1,1,0,0,0,0,0,0,14
hiero-ledger/identity-collaboration-hub,2025-12,1,4,2,0,1,0,0,0,1,0,0,9
hiero-ledger/identity-collaboration-hub,2026-01,10,1,0,2,1,0,1,0,0,0,0,15
hiero-ledger/identity-collaboration-hub,2026-02,2,4,1,0,0,0,0,0,0,0,0,7
hiero-ledger/hiero-sdk-python,2025-02,0,1,0,0,5,3,2,2,0,0,1,14
hiero-ledger/hiero-sdk-python,2025-03,0,1,0,0,0,0,1,1,0,0,0,3
hiero-ledger/hiero-sdk-python,2025-05,0,0,0,0,1,0,1,0,0,0,0,2
hiero-ledger/hiero-sdk-python,2025-06,0,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-08,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-sdk-python,2026-02,0,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/governance,2025-04,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-07,0,0,0,0,0,4,0,0,0,0,0,4
hiero-ledger/governance,2025-09,0,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-11,1,0,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-12,4,0,2,0,0,0,0,0,0,0,0,6
hiero-ledger/governance,2026-01,0,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/governance,2026-02,0,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2026-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-02,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/aries-mobile-agent-react-native,2023-05,0,2,0,0,0,3,0,0,0,0,0,5
hyperledger/aries-mobile-agent-react-native,2023-06,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/aries-mobile-agent-react-native,2023-08,0,0,0,0,0,0,0,6,0,0,0,6
hyperledger/aries-mobile-agent-react-native,2023-09,0,0,0,0,0,1,0,1,0,0,0,2
hyperledger/aries-mobile-agent-react-native,2023-10,0,0,0,0,0,0,0,1,0,0,0,1
openwallet-foundation/credo-ts,2025-09,0,1,0,0,5,1,4,0,0,0,0,11
