repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,DeleteEvent,IssueCommentEvent,CreateEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,60,24,25,12,7,7,0,4,0,139
hiero-ledger/hiero-consensus-node,2025-03,115,30,72,19,8,4,12,6,0,266
hiero-ledger/hiero-consensus-node,2025-04,43,35,18,7,11,6,7,6,1,134
hiero-ledger/hiero-consensus-node,2025-05,63,48,47,11,6,3,9,4,0,191
hiero-ledger/hiero-consensus-node,2025-06,22,16,22,6,6,3,6,5,0,86
hiero-ledger/hiero-consensus-node,2025-07,17,23,6,10,5,2,5,4,0,72
hiero-ledger/hiero-consensus-node,2025-08,39,20,25,5,5,5,1,4,0,104
hiero-ledger/hiero-consensus-node,2025-09,40,20,26,7,6,3,7,4,0,113
hiero-ledger/hiero-consensus-node,2025-10,27,20,31,9,6,6,7,2,0,108
hiero-ledger/hiero-consensus-node,2025-11,18,27,9,7,7,7,0,8,0,83
hiero-ledger/hiero-consensus-node,2025-12,11,12,5,8,3,2,1,4,0,46
hiero-ledger/hiero-consensus-node,2026-01,12,12,2,2,0,2,1,4,0,35
hiero-ledger/hiero-consensus-node,2026-02,17,31,9,9,6,6,2,5,0,85
hiero-ledger/hiero-consensus-node,2026-03,4,15,2,3,1,7,1,3,0,36
hiero-ledger/hiero-consensus-node,2026-04,0,2,0,0,0,1,1,0,0,4
hiero-ledger/hiero-consensus-node,2026-05,1,4,1,0,0,0,0,0,0,6
hiero-ledger/governance,2025-03,2,0,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-04,3,0,2,0,0,0,0,0,0,5
hiero-ledger/governance,2025-05,3,0,1,0,0,0,1,0,1,6
hiero-ledger/governance,2025-07,0,0,0,0,0,0,1,0,0,1
hiero-ledger/governance,2025-10,2,0,0,0,0,0,1,0,0,3
hiero-ledger/hiero-improvement-proposals,2025-06,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-improvement-proposals,2025-07,4,0,4,0,0,0,0,0,0,8
hiero-ledger/hiero-improvement-proposals,2026-04,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-website,2025-10,0,0,0,0,0,0,1,0,0,1
