repo,month,IssueCommentEvent,PullRequestEvent,IssuesEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,CreateEvent,DeleteEvent,MemberEvent,WatchEvent,ForkEvent,ReleaseEvent,total
trustoverip/tswg-trust-registry-protocol,2024-01,1,0,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-protocol,2024-02,0,1,0,0,0,0,0,0,0,0,1,0,2
trustoverip/tswg-trust-registry-protocol,2024-03,3,2,0,0,0,0,0,0,0,0,0,0,5
trustoverip/tswg-trust-registry-protocol,2024-04,2,2,11,1,3,3,0,0,0,0,0,0,22
trustoverip/tswg-trust-registry-protocol,2024-06,2,1,0,0,0,1,0,0,0,0,0,0,4
trustoverip/tswg-trust-registry-protocol,2024-07,1,1,2,3,2,0,0,0,0,1,0,0,10
trustoverip/tswg-trust-registry-protocol,2024-08,0,1,1,0,0,0,1,0,0,0,0,0,3
trustoverip/tswg-trust-registry-protocol,2024-09,1,5,1,2,2,0,1,0,0,0,0,0,12
trustoverip/tswg-trust-registry-protocol,2024-10,1,1,0,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-trust-registry-protocol,2024-11,18,2,4,0,1,0,0,0,0,0,0,0,25
trustoverip/tswg-trust-registry-protocol,2024-12,2,3,0,0,0,2,0,0,0,0,0,0,7
trustoverip/tswg-trust-registry-protocol,2025-01,0,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-protocol,2025-02,3,7,0,0,0,0,1,0,0,0,0,0,11
trustoverip/tswg-trust-registry-protocol,2025-03,35,24,21,3,3,1,1,9,0,0,0,0,97
trustoverip/tswg-trust-registry-protocol,2025-04,21,14,13,11,3,11,3,1,0,0,0,1,78
trustoverip/tswg-trust-registry-protocol,2025-05,19,0,6,0,0,0,0,0,0,0,0,0,25
trustoverip/tswg-trust-registry-protocol,2025-06,3,2,0,7,2,0,0,0,0,0,0,0,14
trustoverip/tswg-trust-registry-protocol,2025-07,0,0,0,4,3,0,0,0,0,0,0,0,7
trustoverip/tswg-trust-registry-protocol,2025-09,3,2,0,0,2,1,0,0,0,0,0,0,8
trustoverip/tswg-trust-registry-protocol,2025-10,3,0,5,7,2,0,0,0,0,0,0,0,17
trustoverip/tswg-trust-registry-service-profile,2024-01,2,0,1,0,0,0,0,0,0,0,0,0,3
trustoverip/tswg-trust-registry-service-profile,2024-02,3,3,3,1,1,0,1,0,0,0,0,0,12
trustoverip/tswg-trust-registry-service-profile,2024-03,3,5,5,0,0,1,0,0,0,0,0,0,14
trustoverip/TechArch,2024-09,1,3,0,4,4,0,0,0,0,0,1,0,13
trustoverip/TechArch,2025-05,0,0,0,0,0,0,0,0,2,0,0,0,2
trustoverip/tswg-trust-registry-query-language,2025-05,0,5,1,0,0,2,1,1,0,0,0,0,10
trustoverip/tswg-trust-registry-tf,2024-06,0,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-tf,2024-07,0,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-trust-registry-tf,2024-10,0,1,0,0,1,0,1,0,0,0,0,0,3
trustoverip/tswg-trust-registry-tf,2024-11,2,2,0,0,0,0,0,0,0,0,0,0,4
trustoverip/tswg-trust-registry-tf,2024-12,0,0,1,0,0,0,0,0,0,0,0,0,1
trustoverip/spec-up-t,2025-03,0,0,0,0,0,0,0,0,3,0,0,0,3
trustoverip/spec-up-t,2025-10,2,0,0,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-tech-architecture-spec,2024-09,4,1,0,0,0,0,0,0,0,0,0,0,5
credebl/adeya-wallet,2024-09,2,0,1,0,0,0,0,0,0,0,0,0,3
trustoverip/tswg-trust-registry-query-protocol,2025-05,0,0,0,0,0,1,2,0,0,0,0,0,3
LF-Decentralized-Trust/governance,2025-04,0,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-agent-test-harness,2024-09,0,0,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/acapy,2025-04,0,0,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/bifold-wallet,2024-09,0,0,0,0,0,0,0,0,0,1,0,0,1
