repo,month,IssueCommentEvent,IssuesEvent,PullRequestEvent,total
openwallet-foundation-labs/identity-credential,2024-08,1,0,1,2
openwallet-foundation/multipaz,2025-09,1,0,0,1
openwallet-foundation/multipaz,2026-02,0,1,0,1
