repo,month,IssueCommentEvent,PullRequestReviewEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,GollumEvent,ReleaseEvent,CommitCommentEvent,ForkEvent,WatchEvent,MemberEvent,total
open-quantum-safe/oqs-provider,2022-09,0,3,2,3,2,0,2,1,0,0,0,0,0,0,13
open-quantum-safe/oqs-provider,2022-10,14,3,18,17,3,5,9,10,11,0,0,0,0,0,90
open-quantum-safe/oqs-provider,2022-11,2,0,3,5,0,2,3,2,4,0,0,0,0,0,21
open-quantum-safe/oqs-provider,2022-12,2,1,5,7,0,5,4,2,0,0,0,0,0,0,26
open-quantum-safe/oqs-provider,2023-01,6,1,7,8,1,1,2,5,0,0,0,0,0,0,31
open-quantum-safe/oqs-provider,2023-02,14,6,11,12,4,8,7,4,0,0,0,0,0,0,66
open-quantum-safe/oqs-provider,2023-03,23,14,14,13,7,13,8,8,0,0,0,0,1,0,101
open-quantum-safe/oqs-provider,2023-04,21,9,6,3,6,6,1,2,0,0,0,0,0,0,54
open-quantum-safe/oqs-provider,2023-05,52,9,35,20,1,15,9,10,0,0,0,1,0,0,152
open-quantum-safe/oqs-provider,2023-06,31,12,43,24,7,13,15,17,0,1,1,0,0,0,164
open-quantum-safe/oqs-provider,2023-07,36,26,25,26,11,9,27,24,4,2,0,0,1,0,191
open-quantum-safe/oqs-provider,2023-08,46,10,7,6,4,2,4,4,0,0,0,0,0,0,83
open-quantum-safe/oqs-provider,2023-09,41,20,20,18,11,6,11,8,0,0,0,0,0,1,136
open-quantum-safe/oqs-provider,2023-10,24,20,23,18,11,13,7,6,1,1,0,0,0,0,124
open-quantum-safe/oqs-provider,2023-11,6,6,5,2,4,0,0,0,0,0,0,0,0,0,23
open-quantum-safe/oqs-provider,2023-12,15,18,18,10,12,2,8,8,2,2,0,0,0,0,95
open-quantum-safe/oqs-provider,2024-01,12,1,19,8,0,4,4,6,0,1,0,0,0,0,55
open-quantum-safe/oqs-provider,2024-02,11,28,19,14,23,3,6,6,0,0,0,0,0,0,110
open-quantum-safe/oqs-provider,2024-03,34,39,9,9,28,3,2,2,0,0,0,0,0,0,126
open-quantum-safe/oqs-provider,2024-04,18,5,23,15,2,4,8,4,0,2,0,0,0,0,81
open-quantum-safe/oqs-provider,2024-05,34,6,11,13,2,3,5,5,0,0,0,0,0,0,79
open-quantum-safe/oqs-provider,2024-06,19,15,9,6,9,3,4,1,3,2,0,0,0,0,71
open-quantum-safe/oqs-provider,2024-07,24,5,1,2,2,10,0,0,0,0,0,0,0,0,44
open-quantum-safe/oqs-provider,2024-08,58,19,13,13,12,14,5,2,0,0,0,0,0,0,136
open-quantum-safe/oqs-provider,2024-09,38,15,13,8,9,3,3,2,0,0,1,0,0,0,92
open-quantum-safe/oqs-provider,2024-10,33,16,11,10,10,12,3,3,2,0,0,0,0,0,100
