repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,CreateEvent,ForkEvent,DeleteEvent,total
open-quantum-safe/oqs-provider,2024-10,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2024-11,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2024-12,10,3,3,1,1,0,0,2,0,20
open-quantum-safe/oqs-provider,2025-01,9,11,11,1,1,0,0,0,0,33
open-quantum-safe/oqs-provider,2025-02,3,5,5,0,1,0,0,0,0,14
open-quantum-safe/oqs-provider,2025-05,3,0,0,1,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2025-09,3,1,3,0,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2025-10,4,6,6,0,1,0,0,0,0,17
open-quantum-safe/oqs-provider,2025-11,2,1,0,2,0,0,0,0,0,5
open-quantum-safe/oqs-provider,2025-12,8,0,0,0,0,0,0,0,0,8
open-quantum-safe/oqs-provider,2026-01,5,0,0,1,2,0,0,0,0,8
open-quantum-safe/oqs-provider,2026-02,6,8,6,2,4,1,0,0,0,27
open-quantum-safe/oqs-provider,2026-04,5,1,0,0,0,0,0,0,0,6
open-quantum-safe/oqs-provider,2026-05,0,1,0,0,0,1,0,0,0,2
open-quantum-safe/liboqs,2025-01,4,0,0,2,0,0,0,1,0,7
open-quantum-safe/liboqs,2025-02,2,0,0,1,0,0,0,0,0,3
open-quantum-safe/liboqs,2025-03,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs,2025-05,3,0,0,1,0,0,0,0,0,4
open-quantum-safe/liboqs,2025-07,0,0,0,0,1,0,0,0,0,1
open-quantum-safe/liboqs,2025-08,2,0,0,1,0,0,0,0,0,3
open-quantum-safe/liboqs,2025-10,3,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2026-01,3,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2026-04,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2026-04,0,1,0,2,0,1,0,0,0,4
open-quantum-safe/tsc,2026-05,1,0,0,0,0,3,4,0,2,10
pq-code-package/mlkem-native,2025-02,1,0,0,0,0,0,0,0,0,1
