repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,ForkEvent,CreateEvent,PullRequestReviewCommentEvent,IssueCommentEvent,ReleaseEvent,DeleteEvent,total
hyperledger-labs/fabric-operations-console,2025-02,0,1,1,2,0,0,0,0,0,4
hyperledger-labs/fabric-operations-console,2025-03,0,1,2,0,0,1,0,0,0,4
hyperledger-labs/fabric-operations-console,2025-04,1,1,3,0,0,1,3,0,0,9
hyperledger-labs/fabric-operations-console,2025-05,4,5,2,0,0,0,0,0,0,11
hyperledger-labs/fabric-operations-console,2025-06,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2025-07,1,2,1,0,0,0,0,0,0,4
hyperledger-labs/fabric-operations-console,2025-08,1,2,0,0,2,0,0,2,0,7
hyperledger-labs/fabric-operations-console,2025-11,1,1,1,0,0,1,0,0,0,4
hyperledger-labs/fabric-operations-console,2025-12,2,3,0,0,0,0,0,0,0,5
hyperledger-labs/fabric-operations-console,2026-01,0,0,2,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2026-02,4,1,1,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2026-03,13,1,2,0,1,0,0,1,0,18
hyperledger-labs/fabric-operations-console,2026-04,5,0,1,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2026-05,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-contract-api-go,2025-04,0,1,1,1,0,1,0,0,0,4
hyperledger/fabric-contract-api-go,2025-11,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2026-01,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-chaincode-builder,2025-07,1,1,0,0,1,0,0,0,1,4
hyperledger-labs/fabric-operator,2025-04,0,2,0,1,0,0,0,0,0,3
hyperledger-labs/fabric-operator,2025-05,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric-gateway,2025-04,0,1,0,1,0,0,0,0,0,2
hyperledger/fabric-samples,2025-03,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-test,2025-12,0,1,0,0,0,0,0,0,0,1
