repo,month,IssuesEvent,CommitCommentEvent,IssueCommentEvent,PushEvent,total
trustoverip/utility-foundry-wg,2020-06,1,1,0,0,2
trustoverip/utility-foundry-wg,2020-12,1,0,1,0,2
trustoverip/concepts-and-terminology-wg,2020-12,1,0,0,0,1
trustoverip/deliverables,2020-12,0,0,0,1,1
