repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,PullRequestEvent,CreateEvent,IssueCommentEvent,DeleteEvent,ForkEvent,total
hiero-ledger/hiero-mirror-node,2025-02,29,18,2,2,1,3,2,9,0,66
hiero-ledger/hiero-mirror-node,2025-03,44,13,16,10,8,6,3,1,0,101
hiero-ledger/hiero-mirror-node,2025-04,52,25,8,12,9,9,5,0,0,120
hiero-ledger/hiero-mirror-node,2025-05,37,28,12,2,2,2,3,0,0,86
hiero-ledger/hiero-mirror-node,2025-06,34,28,16,2,2,2,0,0,0,84
hiero-ledger/hiero-mirror-node,2025-07,41,40,20,0,0,0,2,0,0,103
hiero-ledger/hiero-mirror-node,2025-08,12,11,4,2,1,1,1,0,0,32
hiero-ledger/hiero-mirror-node,2025-09,22,19,36,0,4,3,1,0,0,85
hiero-ledger/hiero-mirror-node,2025-10,22,14,39,1,14,1,3,0,0,94
hiero-ledger/hiero-mirror-node,2025-11,14,5,16,21,6,3,1,0,0,66
hiero-ledger/hiero-mirror-node,2025-12,35,27,11,15,6,4,1,0,0,99
hiero-ledger/hiero-mirror-node,2026-01,19,14,16,0,9,0,2,0,0,60
hiero-ledger/hiero-mirror-node,2026-02,13,8,15,0,1,2,1,0,0,40
hiero-ledger/hiero-mirror-node,2026-03,1,2,12,3,5,5,0,0,0,28
hiero-ledger/hiero-mirror-node,2026-04,3,4,12,0,2,2,0,0,0,23
hiero-ledger/hiero-mirror-node,2026-05,3,1,7,0,0,1,0,0,0,12
hiero-ledger/hiero-consensus-node,2025-02,2,2,0,0,1,0,3,0,1,9
hiero-ledger/hiero-consensus-node,2025-09,0,0,0,1,0,0,0,0,0,1
hyperledger/web3j-cli,2024-08,1,1,0,1,1,0,0,0,1,5
hyperledger/web3j-cli,2024-09,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-mirror-node-explorer,2026-02,0,0,0,2,0,0,0,0,0,2
hyperledger/web3j-gradle-plugin,2024-09,0,0,0,1,0,0,0,0,1,2
