repo,month,IssueCommentEvent,PullRequestEvent,DeleteEvent,PullRequestReviewEvent,ForkEvent,PullRequestReviewCommentEvent,PushEvent,CreateEvent,IssuesEvent,GollumEvent,ReleaseEvent,total
open-quantum-safe/boringssl,2024-01,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/boringssl,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/boringssl,2024-03,10,10,0,8,4,8,3,0,0,1,0,44
open-quantum-safe/boringssl,2024-04,5,1,0,0,1,0,0,0,0,0,0,7
open-quantum-safe/boringssl,2024-05,7,2,0,0,1,0,1,0,0,0,0,11
open-quantum-safe/boringssl,2024-08,7,7,1,5,5,5,5,1,2,0,0,38
open-quantum-safe/boringssl,2024-09,7,6,1,6,4,6,3,2,0,0,0,35
open-quantum-safe/boringssl,2024-10,2,2,0,0,1,0,1,1,0,1,1,9
open-quantum-safe/boringssl,2024-11,1,0,0,0,0,0,0,0,1,0,0,2
open-quantum-safe/boringssl,2024-12,2,4,3,0,2,0,3,0,3,0,0,17
open-quantum-safe/boringssl,2025-01,2,2,2,0,1,0,2,3,1,0,1,14
open-quantum-safe/boringssl,2025-04,1,2,24,0,1,0,1,1,0,0,0,30
open-quantum-safe/boringssl,2025-05,0,2,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/boringssl,2025-08,0,1,0,0,0,0,0,1,0,0,0,2
open-quantum-safe/boringssl,2025-10,0,0,3,0,0,0,0,3,0,0,0,6
open-quantum-safe/boringssl,2025-12,0,0,0,0,1,1,2,0,0,0,0,4
open-quantum-safe/boringssl,2026-01,0,0,2,0,0,0,0,0,0,0,0,2
open-quantum-safe/boringssl,2026-05,1,0,1,0,0,0,1,0,0,0,0,3
open-quantum-safe/oqs-demos,2024-02,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-03,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-04,3,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2024-05,0,0,0,5,0,2,0,0,0,0,0,7
open-quantum-safe/oqs-demos,2024-07,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-08,11,2,6,6,2,6,11,3,1,0,0,48
open-quantum-safe/oqs-demos,2024-09,0,2,1,0,0,0,1,1,0,0,0,5
open-quantum-safe/oqs-demos,2024-10,15,1,0,0,0,0,0,0,0,0,0,16
open-quantum-safe/oqs-demos,2024-11,2,0,0,0,0,0,0,0,1,0,0,3
open-quantum-safe/oqs-demos,2024-12,3,1,0,0,1,0,0,0,0,0,0,5
open-quantum-safe/oqs-demos,2025-02,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2025-04,0,1,0,2,1,0,0,0,0,0,0,4
open-quantum-safe/oqs-demos,2025-05,1,2,0,0,2,0,0,0,1,0,0,6
open-quantum-safe/oqs-demos,2025-10,1,1,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2026-01,2,1,0,1,0,1,0,0,0,0,0,5
open-quantum-safe/ci-containers,2024-05,4,6,0,3,6,3,0,0,0,0,0,22
open-quantum-safe/oqs-provider,2024-09,7,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2024-11,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2025-05,0,0,0,2,0,1,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2025-12,2,0,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2026-01,1,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2024-03,0,1,0,0,2,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2024-04,3,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2024-09,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2024-04,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2024-12,0,0,0,1,0,1,0,0,0,0,0,2
