repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,IssuesEvent,PullRequestReviewCommentEvent,CreateEvent,DeleteEvent,IssueCommentEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,17,51,11,7,7,3,9,3,0,108
hiero-ledger/hiero-consensus-node,2025-03,53,38,13,11,17,6,5,5,0,148
hiero-ledger/hiero-consensus-node,2025-04,47,39,25,32,19,12,14,6,0,194
hiero-ledger/hiero-consensus-node,2025-05,15,13,6,6,3,4,3,1,0,51
hiero-ledger/hiero-consensus-node,2025-06,38,16,14,12,10,14,7,5,0,116
hiero-ledger/hiero-consensus-node,2025-07,40,11,13,13,2,7,7,7,0,100
hiero-ledger/hiero-consensus-node,2025-08,0,0,0,0,0,0,0,1,0,1
hiero-ledger/hiero-improvement-proposals,2025-07,0,0,0,0,0,0,0,0,1,1
