repo,month,PushEvent,CreateEvent,DeleteEvent,PullRequestEvent,PullRequestReviewEvent,total
LFDT-Verii/core,2025-09,2,1,1,1,0,5
LFDT-Verii/core,2025-10,8,2,2,2,0,14
LFDT-Verii/core,2025-11,2,2,2,1,0,7
LFDT-Verii/core,2025-12,5,1,1,2,1,10
